case_fan_id,product_id,mm_size,color,rpm,airflow,noise_level,pwm_4-pin
270644,109531,140,Black,1700 RPM,65.03 CFM,32 dB,Yes
270645,109532,140,Black,1200 RPM,48 CFM,22 dB,No
270646,109533,120,Black,1450 RPM,37.85 CFM,23 dB,Yes
270647,109534,120,Purple,1500 RPM,52.19 CFM,25.2 dB,No
270648,109535,120,Black / White,500 - 1800 RPM,58.39 - 76.52 CFM,17.6 - 31.8 dB,Yes
270649,109536,120,White,1300 RPM,47.27 CFM,25.35 dB,No
270650,109537,140,Black,500 - 1300 RPM,37.37 - 97.18 CFM,13 - 30.7 dB,Yes
270651,109538,120,Black / Pink,1500 RPM,57.67 CFM,24.7 dB,Yes
270652,109539,140,Black,,55.4 CFM,22 dB,No
270653,109540,80,Black,200 - 3000 RPM,23.4 CFM,,Yes
270654,109541,120,Clear,950 RPM,40 CFM,19 dB,No
270655,109542,120,Black / White,1100 - 1500 RPM,62.5 - 81.5 CFM,14.8 - 23.1 dB,No
270656,109543,140,Black / White,900 - 1300 RPM,28.3 - 73.6 CFM,17 - 21 dB,Yes
270657,109544,120,Black,1000 RPM,43.5 CFM,20 dB,No
270658,109545,120,Gray / Black,300 - 1200 RPM,16.6 - 51.17 CFM,4 - 24.9 dB,Yes
270659,109546,120,Black / Red,1200 RPM,50.44 CFM,20.7 dB,No
270660,109547,140,,1700 RPM,65.03 CFM,32 dB,Yes
270661,109548,120,Black,1100 RPM,36 CFM,25 dB,No
270662,109549,92,Black / White,1300 RPM,24.6 CFM,12.5 dB,No
270663,109550,140,White / Black,1000 RPM,63.33 CFM,19.4 dB,No
270664,109551,140,Black / White,1200 RPM,86.73 CFM,22.8 dB,No
270665,109552,120,Black,1400 RPM,90 CFM,18 dB,No
270666,109553,120,Black,1800 RPM,35.2 CFM,26.8 dB,Yes
270667,109554,120,Black / Blue,1500 RPM,57.67 CFM,24.7 dB,No
270668,109555,80,White / Black,2000 RPM,33 CFM,,No
270669,109556,120,Black / Green,1500 RPM,57.67 CFM,24.7 dB,No
270670,109557,140,White / Black,400 - 1500 RPM,24 - 78.1 CFM,10 - 30.1 dB,Yes
270671,109558,80,Red,2500 RPM,33.21 CFM,22.41 dB,No
270672,109559,120,Gray / White,1800 RPM,61.93 CFM,18.2 - 31.4 dB,Yes
270673,109560,120,Clear,2000 RPM,79 CFM,30 dB,No
270674,109561,140,White / Black,850 - 1200 RPM,78.5 - 118.2 CFM,18.3 - 26.5 dB,No
270675,109562,120,Black,700 - 1600 RPM,54.5 CFM,23.5 dB,Yes
270676,109563,140,Black / Gray,1100 - 1500 RPM,71.2 - 93.4 CFM,15.5 - 23.4 dB,No
270677,109564,140,Black / White,1200 RPM,82.1 CFM,19 dB,No
