case_id,product_id,type,color,power_supply,side_panel_window,external_bays,internal_bays
255198,105198,Mini ITX Tower,Black,None,None,1,3
255199,105199,ATX Mid Tower,Black,None,None,3,0
255200,105200,ATX Mid Tower,Black,None,Tempered Glass,0,2
255201,105201,ATX Full Tower,Black,None,Acrylic,3,6
255202,105202,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,3
255203,105203,ATX Mid Tower,Black,None,Acrylic,2,2
255204,105204,Mini ITX Tower,Black,None,None,0,1
255205,105205,ATX Mid Tower,Black,None,Acrylic,0,1
255206,105206,ATX Full Tower,Black,None,Tempered Glass,0,15
255207,105207,MicroATX Mini Tower,White / Black,None,Acrylic,0,2
255208,105208,Mini ITX Tower,White,None,Tempered Glass,0,1
255209,105209,Mini ITX Tower,Black,None,Tempered Glass,0,1
255210,105210,Mini ITX Desktop,Silver,None,Tempered Glass,0,1
255211,105211,Mini ITX Tower,Black,None,None,0,2
255212,105212,MicroATX Mini Tower,Black,None,None,1,3
255213,105213,ATX Mid Tower,Black,None,Tempered Glass,0,4
255214,105214,MicroATX Mid Tower,Black,None,None,0,2
255215,105215,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,2
255216,105216,ATX Mid Tower,White,None,Acrylic,0,2
255217,105217,ATX Mid Tower,Black,None,Tempered Glass,0,3
255218,105218,ATX Mid Tower,Black,None,Tempered Glass,0,2
255219,105219,ATX Mid Tower,White / Black,None,Tempered Glass,0,2
255220,105220,ATX Mid Tower,Black / Red,None,Acrylic,0,2
255221,105221,MicroATX Mid Tower,Black,None,Tempered Glass,0,2
255222,105222,ATX Mid Tower,White,None,Tinted Tempered Glass,0,2
255223,105223,ATX Mid Tower,Black,None,Tempered Glass,0,2
255224,105224,ATX Mid Tower,Black,None,Acrylic,0,2
255225,105225,ATX Mid Tower,Black / White,None,Tempered Glass,1,6
255226,105226,Mini ITX Desktop,Black,None,None,0,2
255227,105227,ATX Mid Tower,Black,None,None,1,6
255228,105228,ATX Full Tower,Black,None,Tempered Glass,2,7
255229,105229,ATX Mid Tower,Black,None,Tempered Glass,0,3
255230,105230,ATX Mid Tower,Black,None,Tempered Glass,0,2
255231,105231,ATX Mid Tower,Black,None,Acrylic,2,3
255232,105232,ATX Mid Tower,White / Black,None,Tempered Glass,0,2
255233,105233,ATX Mid Tower,Black / Gray,None,Acrylic,0,2
255234,105234,HTPC,Black,450 W,None,0,0
255235,105235,MicroATX Mid Tower,Black,None,Tempered Glass,0,2
255236,105236,ATX Mid Tower,White,None,Tempered Glass,0,2
255237,105237,ATX Full Tower,Black,None,Tinted Tempered Glass,3,6
255238,105238,ATX Mid Tower,Black,None,Tempered Glass,0,3
255239,105239,ATX Mid Tower,Black,None,Tempered Glass,0,2
255240,105240,ATX Mid Tower,White,None,Acrylic,0,2
255241,105241,MicroATX Mini Tower,Black,None,Acrylic,0,2
255242,105242,ATX Mid Tower,Black,None,Tempered Glass,0,2
255243,105243,ATX Mid Tower,White,None,Tempered Glass,0,3
255244,105244,ATX Mid Tower,Black,None,Tempered Glass,0,2
255245,105245,MicroATX Mini Tower,Black,None,None,1,1
255246,105246,ATX Mid Tower,Black,None,Tempered Glass,0,4
255247,105247,ATX Mid Tower,Black,None,None,1,2
255248,105248,ATX Mid Tower,Black,None,None,3,3
255249,105249,ATX Mid Tower,Black,None,Tempered Glass,0,3
255250,105250,ATX Mid Tower,Black,None,Tempered Glass,0,2
255251,105251,ATX Mid Tower,Black,None,None,0,2
255252,105252,ATX Full Tower,Black,None,Tempered Glass,0,12
255253,105253,Mini ITX Tower,Black,650 W,Tempered Glass,0,0
255254,105254,ATX Mid Tower,White,None,Acrylic,0,2
255255,105255,MicroATX Mid Tower,Black / Red,None,Tempered Glass,0,2
255256,105256,ATX Mid Tower,White,None,Acrylic,1,2
255257,105257,ATX Mid Tower,Black,None,Tempered Glass,1,2
255258,105258,ATX Mid Tower,Black,None,Tempered Glass,0,2
255259,105259,Mini ITX Desktop,Black,None,None,1,3
255260,105260,ATX Mid Tower,Black / Gray,None,Tempered Glass,0,4
255261,105261,ATX Mid Tower,Black / White,None,Tinted Tempered Glass,0,2
255262,105262,ATX Mid Tower,Black,None,Tempered Glass,0,7
255263,105263,ATX Mid Tower,Black / White,None,Tempered Glass,0,2
255264,105264,ATX Mid Tower,Black,None,Acrylic,2,4
255265,105265,ATX Mid Tower,Black / Blue,None,Acrylic,2,2
255266,105266,Mini ITX Desktop,Black,None,Acrylic,0,2
255267,105267,ATX Mid Tower,Black,None,Tempered Glass,1,2
255268,105268,MicroATX Mid Tower,Black,None,Acrylic,1,2
255269,105269,ATX Full Tower,Black,None,Acrylic,3,6
255270,105270,ATX Full Tower,Black,None,Tempered Glass,0,4
255271,105271,ATX Mid Tower,Black,None,Acrylic,0,2
255272,105272,ATX Full Tower,Black,None,Acrylic,2,5
255273,105273,MicroATX Mid Tower,Black,None,Tempered Glass,0,2
255274,105274,ATX Full Tower,Black / Orange,None,Tempered Glass,2,7
255275,105275,ATX Mid Tower,Black,None,Tempered Glass,0,2
255276,105276,MicroATX Mid Tower,Black,None,None,2,2
255277,105277,ATX Mid Tower,Gray / Black,None,Tinted Tempered Glass,0,4
255278,105278,ATX Full Tower,Black / Silver,None,Tempered Glass,1,2
255279,105279,ATX Mid Tower,Black / Red,None,Tempered Glass,0,2
255280,105280,ATX Full Tower,Black,None,Acrylic,3,8
255281,105281,ATX Mid Tower,Black,None,Tempered Glass,0,2
255282,105282,ATX Mid Tower,Black,None,Tempered Glass,0,2
255283,105283,ATX Mid Tower,Black / White,None,Tinted Tempered Glass,0,2
255284,105284,ATX Mid Tower,White,None,Tempered Glass,0,2
255285,105285,Mini ITX Desktop,White,None,Acrylic,0,2
255286,105286,Mini ITX Tower,Gray,None,Tinted Tempered Glass,0,1
255287,105287,MicroATX Mini Tower,Black,None,None,2,2
255288,105288,Mini ITX Tower,Black,None,Tinted Tempered Glass,0,1
255289,105289,MicroATX Mid Tower,Black,None,Acrylic,0,2
255290,105290,ATX Desktop,Black,None,None,2,4
255291,105291,ATX Mid Tower,White,None,Tempered Glass,0,2
255292,105292,ATX Mid Tower,Black,None,Tempered Glass,0,2
255293,105293,MicroATX Mid Tower,White,None,Tempered Glass,0,2
255294,105294,ATX Mid Tower,Black,None,Tempered Glass,0,2
255295,105295,Mini ITX Tower,Black / Red,None,Tempered Glass,0,1
255296,105296,ATX Mid Tower,White,None,Tempered Glass,0,2
255297,105297,Mini ITX Tower,White,650 W,Tempered Glass,0,0
255298,105298,ATX Mid Tower,Black / Red,None,Acrylic,0,3
255299,105299,ATX Mid Tower,Black,None,Tempered Glass,0,3
255300,105300,Mini ITX Desktop,Black,None,None,0,0
255301,105301,ATX Mid Tower,Black / Orange,None,Tempered Glass,2,3
255302,105302,ATX Mid Tower,Black,None,Tempered Glass,0,2
255303,105303,ATX Mid Tower,Black / Red,None,Tempered Glass,0,3
255304,105304,ATX Mid Tower,White / Black,None,Tempered Glass,0,3
255305,105305,ATX Mid Tower,,None,Tinted Tempered Glass,0,2
255306,105306,HTPC,Black,150 W,None,0,0
255307,105307,ATX Mid Tower,Black,None,Tempered Glass,0,2
255308,105308,ATX Mid Tower,Black,None,Acrylic,0,3
255309,105309,ATX Mid Tower,Black,None,Acrylic,0,2
255310,105310,ATX Full Tower,Black,None,None,4,8
255311,105311,ATX Mid Tower,White,None,Tempered Glass,0,2
255312,105312,MicroATX Mid Tower,Black,None,Acrylic,0,10
255313,105313,ATX Mid Tower,White,None,Acrylic,0,3
255314,105314,ATX Full Tower,White,None,Acrylic,3,6
255315,105315,ATX Mid Tower,Black,None,Tempered Glass,0,2
255316,105316,ATX Mid Tower,Black / Red,None,Tempered Glass,0,4
255317,105317,ATX Mid Tower,Black,None,None,2,3
255318,105318,ATX Mid Tower,,None,Tempered Glass,0,2
255319,105319,ATX Mid Tower,Black,None,Tempered Glass,0,2
255320,105320,ATX Mid Tower,Black,None,Tempered Glass,0,2
255321,105321,ATX Mid Tower,Black,None,Tempered Glass,0,2
255322,105322,ATX Mid Tower,Black / Red,None,Acrylic,2,2
255323,105323,ATX Full Tower,Black,None,Acrylic,2,6
255324,105324,Mini ITX Desktop,Black,None,None,0,0
255325,105325,Mini ITX Tower,Black,None,None,0,1
255326,105326,ATX Mid Tower,Silver,None,Tinted Tempered Glass,0,4
255327,105327,ATX Mid Tower,Black,None,Tempered Glass,0,2
255328,105328,ATX Mid Tower,Black,None,Acrylic,0,2
255329,105329,ATX Mid Tower,Black,None,Tempered Glass,0,2
255330,105330,Mini ITX Desktop,Black,None,None,0,1
255331,105331,ATX Mid Tower,Black,None,None,0,2
255332,105332,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,4
255333,105333,MicroATX Mini Tower,Black,None,Acrylic,0,2
255334,105334,ATX Mid Tower,Black / Blue,None,None,2,4
255335,105335,ATX Full Tower,White / Black,None,None,6,6
255336,105336,ATX Mid Tower,Black / White,None,Tinted Tempered Glass,0,2
255337,105337,ATX Full Tower,Black / White,None,Acrylic,2,6
255338,105338,ATX Mid Tower,,None,Tinted Tempered Glass,0,2
255339,105339,ATX Mid Tower,Black,None,Tempered Glass,0,2
255340,105340,HTPC,Black,None,None,1,2
255341,105341,ATX Mid Tower,Black / Red,None,Acrylic,0,2
255342,105342,ATX Mid Tower,White / Black,None,Tinted Tempered Glass,0,4
255343,105343,ATX Mid Tower,Black,None,Tempered Glass,1,6
255344,105344,ATX Mid Tower,,None,Tempered Glass,0,2
255345,105345,Mini ITX Tower,Black,None,Acrylic,0,1
255346,105346,Mini ITX Desktop,Black,None,Tinted Tempered Glass,0,2
255347,105347,ATX Full Tower,Black,None,Tempered Glass,1,6
255348,105348,ATX Mid Tower,Black,None,Tempered Glass,0,2
255349,105349,ATX Mid Tower,Black,None,Tempered Glass,0,3
255350,105350,ATX Mid Tower,Black,None,Tempered Glass,0,2
255351,105351,ATX Mid Tower,Black,None,Tempered Glass,0,2
255352,105352,MicroATX Desktop,Black / Silver,None,Tempered Glass,0,3
255353,105353,ATX Mid Tower,Black,None,Tempered Glass,0,2
255354,105354,ATX Mid Tower,Black,None,Acrylic,0,2
255355,105355,ATX Mid Tower,White,None,Tempered Glass,0,2
255356,105356,ATX Mid Tower,Black / Blue,None,Acrylic,1,3
255357,105357,ATX Mid Tower,Black / Red,None,Acrylic,2,2
255358,105358,ATX Full Tower,Black,None,None,3,6
255359,105359,ATX Mid Tower,White,None,Tempered Glass,0,2
255360,105360,ATX Mid Tower,White / Black,None,Tempered Glass,0,3
255361,105361,ATX Mid Tower,Black,None,None,2,4
255362,105362,ATX Mid Tower,Black / Red,None,Acrylic,2,3
255363,105363,ATX Full Tower,Black,None,Tempered Glass,1,2
255364,105364,ATX Mid Tower,Black,None,Tempered Glass,0,4
255365,105365,MicroATX Mid Tower,White,None,Tempered Glass,0,2
255366,105366,ATX Mid Tower,Black,None,None,1,4
255367,105367,ATX Full Tower,White,None,Tempered Glass,1,6
255368,105368,ATX Mid Tower,Black,None,Tinted Tempered Glass,0,2
255369,105369,ATX Mid Tower,Gray,None,Tinted Tempered Glass,0,4
255370,105370,ATX Mid Tower,Black,None,Acrylic,0,3
255371,105371,ATX Mid Tower,Black / Orange,None,Tempered Glass,0,3
255372,105372,MicroATX Mid Tower,Black,None,None,0,2
255373,105373,ATX Mid Tower,Black / Blue,None,Tempered Glass,0,3
255374,105374,Mini ITX Tower,White / Black,None,Tempered Glass,0,1
255375,105375,MicroATX Mid Tower,Black,None,Tempered Glass,0,3
255376,105376,ATX Full Tower,Black / Gold,1065 W,Tempered Glass,0,4
