power_supply_id,product_id,form_factor,efficiency_rating,wattage,modular,color
351052,137629,ATX,80+ Gold,750 W,Full,
351053,137630,ATX,80+ Platinum,1200 W,Full,
351054,137631,ATX,80+ Bronze,750 W,Semi,
351055,137632,ATX,80+ Bronze,550 W,Full,
351056,137633,ATX,,600 W,No,
351057,137634,ATX,80+ Gold,700 W,Semi,
351058,137635,ATX,80+ Bronze,500 W,Semi,Black
351059,137636,SFX,80+ Gold,300 W,No,
351060,137637,SFX,80+ Bronze,400 W,No,
351061,137638,ATX,80+ Gold,650 W,Semi,
351062,137639,TFX,80+ Bronze,300 W,No,Black
351063,137640,ATX,80+ Gold,1250 W,Full,
351064,137641,ATX,80+ Bronze,550 W,Full,
351065,137642,ATX,,700 W,No,
351066,137643,ATX,,500 W,No,
351067,137644,ATX,,650 W,No,
351068,137645,ATX,80+ Gold,850 W,Semi,
351069,137646,ATX,80+,600 W,No,
351070,137647,ATX,80+,450 W,No,
351071,137648,ATX,,700 W,No,
351072,137649,ATX,80+ Gold,1050 W,Full,
351073,137650,ATX,80+,400 W,No,Black
351074,137651,ATX,80+ Silver,650 W,No,
351075,137652,ATX,80+ Bronze,1000 W,No,
351076,137653,ATX,80+ Gold,850 W,Full,Black / Red
351077,137654,ATX,80+ Gold,550 W,Full,Black
351078,137655,TFX,,275 W,No,
351079,137656,ATX,80+ Platinum,1050 W,Full,
351080,137657,ATX,80+ Bronze,520 W,No,
351081,137658,TFX,80+ Bronze,300 W,No,Silver
351082,137659,ATX,80+ Bronze,700 W,Semi,Black
351083,137660,ATX,80+,600 W,No,
351084,137661,ATX,80+ Silver,500 W,Semi,
351085,137662,ATX,80+ Gold,850 W,Semi,
351086,137663,ATX,80+ Gold,750 W,Full,Black / Multicolor
351087,137664,ATX,,650 W,No,
351088,137665,ATX,80+ Bronze,750 W,Semi,Black
351089,137666,ATX,80+ Bronze,650 W,Semi,White / Black
351090,137667,ATX,80+ Platinum,1050 W,Full,Black
351091,137668,ATX,,600 W,No,
351092,137669,ATX,80+ Platinum,520 W,Full,
351093,137670,ATX,80+ Gold,650 W,Full,Black / Silver
351094,137671,ATX,80+ Gold,700 W,Full,
351095,137672,ATX,80+ Gold,850 W,Full,
351096,137673,BTX,80+ Titanium,750 W,Full,Black
351097,137674,ATX,80+ Platinum,1200 W,Full,
351098,137675,TFX,80+ Bronze,300 W,No,
351099,137676,ATX,80+,630 W,No,
351100,137677,ATX,80+ Gold,1000 W,Semi,
351101,137678,ATX,80+ Platinum,1050 W,Full,
351102,137679,ATX,80+ Platinum,1000 W,Full,
351103,137680,ATX,80+ Bronze,500 W,No,
351104,137681,ATX,80+ Bronze,600 W,No,
351105,137682,ATX,80+ Silver,750 W,No,
351106,137683,ATX,80+ Gold,1200 W,Full,
351107,137684,ATX,,400 W,No,
351108,137685,ATX,80+ Gold,1000 W,Semi,
351109,137686,ATX,80+ Bronze,750 W,No,
351110,137687,ATX,80+ Bronze,850 W,Semi,
351111,137688,ATX,80+ Gold,650 W,No,
351112,137689,SFX,,300 W,No,
351113,137690,TFX,80+ Gold,300 W,No,
351114,137691,ATX,,550 W,No,
351115,137692,ATX,80+ Gold,600 W,Semi,
351116,137693,ATX,80+ Silver,850 W,Full,
