internal_harddrive_id,product_id,capacity,price_per_gb,harddrive_type,cache,form_factor,interface
301010,116356,750 GB,0.05,5400 RPM,16 MB,2.5 in,SATA 6 Gb/s
301011,116357,250 GB,0.24,SSD,,2.5 in,SATA 6 Gb/s
301012,116358,750 GB,0.05,7200 RPM,32 MB,3.5 in,SATA 3 Gb/s
301013,116359,120 GB,,SSD,,2.5 in,SATA 6 Gb/s
301014,116360,2 TB,,5900 RPM,32 MB,3.5 in,SATA 3 Gb/s
301015,116361,2 TB,,SSD,,M.2-2280,M.2 (M)
301016,116362,1 TB,0.12,Hybrid,64 MB,2.5 in,SATA 6 Gb/s
301017,116363,10 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301018,116364,8 TB,0.05,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301019,116365,1 TB,0.45,SSD,,M.2-2280,M.2 (M)
301020,116366,2 TB,0.15,7200 RPM,64 MB,3.5 in,SATA 3 Gb/s
301021,116367,5 TB,0.06,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
301022,116368,960 GB,,SSD,,2.5 in,SATA 6 Gb/s
301023,116369,512 GB,,SSD,,M.2-2280,M.2 (M)
301024,116370,256 GB,0.16,SSD,,M.2-2280,M.2 (B+M)
301025,116371,1 TB,0.2,Hybrid,64 MB,2.5 in,SATA 6 Gb/s
301026,116372,80 GB,2.17,7200 RPM,2 MB,3.5 in,SATA 3 Gb/s
301027,116373,256 GB,0.63,SSD,,2.5 in,SATA 6 Gb/s
301028,116374,180 GB,0.61,SSD,,2.5 in,SATA 6 Gb/s
301029,116375,1 TB,0.07,5400 RPM,16 MB,2.5 in,SATA 6 Gb/s
301030,116376,3 TB,0.14,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301031,116377,120 GB,0.66,SSD,,2.5 in,SATA 6 Gb/s
301032,116378,240 GB,,SSD,,2.5 in,SATA 6 Gb/s
301033,116379,120 GB,,SSD,,2.5 in,SATA 6 Gb/s
301034,116380,1 TB,0.21,SSD,,M.2-2280,M.2 (M)
301035,116381,4 TB,0.03,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301036,116382,1 TB,0.13,5200 RPM,8 MB,2.5 in,SATA 3 Gb/s
301037,116383,2 TB,0.05,5900 RPM,32 MB,3.5 in,SATA 3 Gb/s
301038,116384,8 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301039,116385,250 GB,,5900 RPM,8 MB,3.5 in,SATA 3 Gb/s
301040,116386,1 TB,0.07,5400 RPM,8 MB,2.5 in,SATA 6 Gb/s
301041,116387,480 GB,,SSD,,2.5 in,SATA 6 Gb/s
301042,116388,250 GB,,SSD,,2.5 in,SATA 6 Gb/s
301043,116389,480 GB,0.18,SSD,,M.2-2280,M.2 (B+M)
301044,116390,3.84 TB,0.14,SSD,,2.5 in,SATA 6 Gb/s
301045,116391,128 GB,0.31,SSD,,M.2-2280,M.2 (B+M)
301046,116392,4 TB,0.05,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301047,116393,480 GB,,SSD,,2.5 in,SATA 6 Gb/s
301048,116394,3 TB,0.03,5400 RPM,32 MB,3.5 in,SATA 6 Gb/s
301049,116395,400 GB,1.51,SSD,,PCI-E,PCIe x4
301050,116396,200 GB,4.57,SSD,,2.5 in,SATA 3 Gb/s
301051,116397,500 GB,0.08,5400 RPM,16 MB,2.5 in,SATA 3 Gb/s
301052,116398,1 TB,,7200 RPM,32 MB,3.5 in,SATA 3 Gb/s
301053,116399,250 GB,,SSD,,2.5 in,SATA 6 Gb/s
301054,116400,3 TB,,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301055,116401,3 TB,0.03,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
301056,116402,1.05 TB,0.27,SSD,,M.2-2280,M.2 (B+M)
301057,116403,1 TB,0.15,SSD,,2.5 in,SATA 6 Gb/s
301058,116404,4 TB,0.12,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301059,116405,4 TB,0.06,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301060,116406,8 TB,,7200 RPM,,3.5 in,SATA 6 Gb/s
301061,116407,14 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301062,116408,320 GB,0.11,7200 RPM,16 MB,3.5 in,SATA 3 Gb/s
301063,116409,240 GB,0.45,SSD,,2.5 in,SATA 6 Gb/s
301064,116410,250 GB,0.14,5400 RPM,8 MB,2.5 in,SATA 3 Gb/s
301065,116411,120 GB,,SSD,,M.2-2280,M.2 (B+M)
301066,116412,120 GB,,SSD,,2.5 in,SATA 6 Gb/s
301067,116413,500 GB,,7200 RPM,32 MB,3.5 in,SATA 6 Gb/s
301068,116414,450 GB,,10025 RPM,16 MB,2.5 in,SATA 6 Gb/s
301069,116415,500 GB,0.16,SSD,,2.5 in,SATA 6 Gb/s
301070,116416,1 TB,0.05,7200 RPM,32 MB,3.5 in,SATA 3 Gb/s
301071,116417,256 GB,0.19,SSD,,2.5 in,SATA 6 Gb/s
301072,116418,640 GB,0.23,7200 RPM,32 MB,3.5 in,SATA 3 Gb/s
301073,116419,1.9 TB,0.2,SSD,,2.5 in,SATA 6 Gb/s
301074,116420,1.5 TB,0.05,5400 RPM,64 MB,3.5 in,SATA 3 Gb/s
301075,116421,2 TB,,5900 RPM,64 MB,3.5 in,SATA 6 Gb/s
301076,116422,3 TB,,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301077,116423,256 GB,,SSD,,M.2-2280,M.2 (M)
301078,116424,6 TB,0.05,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301079,116425,2 TB,0.14,SSD,,2.5 in,SATA 6 Gb/s
301080,116426,5 TB,0.05,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301081,116427,1 TB,,7200 RPM,32 MB,3.5 in,SATA 6 Gb/s
301082,116428,120 GB,,SSD,,2.5 in,SATA 6 Gb/s
301083,116429,480 GB,1.33,SSD,,2.5 in,U.2
301084,116430,250 GB,0.2,SSD,,2.5 in,SATA 6 Gb/s
301085,116431,240 GB,,SSD,,2.5 in,SATA 6 Gb/s
301086,116432,2 TB,0.05,5400 RPM,128 MB,2.5 in,SATA 6 Gb/s
301087,116433,2 TB,,SSD,,M.2-2280,M.2 (M)
301088,116434,8 TB,0.03,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
301089,116435,960 GB,0.12,SSD,,2.5 in,SATA 6 Gb/s
301090,116436,2 TB,0.07,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301091,116437,4 TB,0.06,5900 RPM,64 MB,3.5 in,SATA 6 Gb/s
301092,116438,1.2 TB,1.24,SSD,,2.5 in,SATA 6 Gb/s
301093,116439,160 GB,0.16,5400 RPM,8 MB,2.5 in,SATA 3 Gb/s
301094,116440,128 GB,0.97,SSD,,2.5 in,SATA 6 Gb/s
301095,116441,120 GB,1.41,SSD,,2.5 in,SATA 6 Gb/s
301096,116442,750 GB,0.26,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301097,116443,240 GB,,SSD,,2.5 in,SATA 6 Gb/s
301098,116444,1 TB,,SSD,,mSATA,mSATA
301099,116445,120 GB,0.24,SSD,,2.5 in,SATA 6 Gb/s
301100,116446,750 GB,0.05,7200 RPM,16 MB,2.5 in,SATA 3 Gb/s
301101,116447,480 GB,0.35,SSD,,2.5 in,SATA 6 Gb/s
301102,116448,512 GB,2,SSD,,2.5 in,SATA 6 Gb/s
301103,116449,480 GB,2.18,SSD,,2.5 in,SATA 6 Gb/s
301104,116450,500 GB,,7200 RPM,16 MB,3.5 in,SATA 3 Gb/s
301105,116451,6 TB,0.04,7200 RPM,128 MB,3.5 in,SAS 12 Gb/s
301106,116452,800 GB,0.18,SSD,,2.5 in,PCIe x4
301107,116453,4 TB,0.04,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301108,116454,256 GB,0.29,SSD,,M.2-2280,M.2 (B+M)
301109,116455,32 GB,0.92,SSD,,2.5 in,SATA 6 Gb/s
301110,116456,500 GB,0.14,SSD,,2.5 in,SATA 6 Gb/s
301111,116457,512 GB,,SSD,512 MB,2.5 in,SATA 6 Gb/s
301112,116458,3 TB,0.05,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301113,116459,300 GB,0.16,10000 RPM,16 MB,2.5 in,SATA 3 Gb/s
301114,116460,512 GB,0.79,SSD,,M.2-2280,M.2 (B+M)
301115,116461,2.05 TB,0.29,SSD,,2.5 in,SATA 6 Gb/s
301116,116462,120 GB,0.51,SSD,,2.5 in,SATA 6 Gb/s
301117,116463,120 GB,0.49,SSD,,2.5 in,SATA 6 Gb/s
301118,116464,480 GB,0.32,SSD,,2.5 in,SATA 6 Gb/s
301119,116465,256 GB,,SSD,512 MB,PCI-E,PCIe x4
301120,116466,500 GB,,SSD,,2.5 in,SATA 6 Gb/s
301121,116467,250 GB,,7200 RPM,8 MB,3.5 in,SATA 1.5 Gb/s
301122,116468,120 GB,,SSD,,2.5 in,SATA 6 Gb/s
301123,116469,1 TB,,7200 RPM,64 MB,2.5 in,SAS 6 Gb/s
301124,116470,2 TB,0.2,SSD,,2.5 in,U.2
301125,116471,4 TB,0.05,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301126,116472,1 TB,0.14,SSD,,M.2-2280,M.2 (M)
301127,116473,6 TB,0.05,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301128,116474,1 TB,0.05,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301129,116475,480 GB,0.25,SSD,,2.5 in,SATA 6 Gb/s
301130,116476,120 GB,,SSD,,2.5 in,SATA 6 Gb/s
301131,116477,8 TB,0.03,5900 RPM,256 MB,3.5 in,SATA 6 Gb/s
301132,116478,1.6 TB,1.33,SSD,,PCI-E,PCIe x4
301133,116479,800 GB,1.59,SSD,,PCI-E,PCIe x4
301134,116480,500 GB,0.1,5400 RPM,8 MB,2.5 in,SATA 3 Gb/s
301135,116481,256 GB,0.4,SSD,,2.5 in,SATA 6 Gb/s
301136,116482,480 GB,0.34,SSD,,2.5 in,SATA 6 Gb/s
301137,116483,200 GB,6.93,SSD,,2.5 in,SATA 6 Gb/s
301138,116484,240 GB,,SSD,,2.5 in,SATA 6 Gb/s
301139,116485,1.6 TB,,SSD,,PCI-E,PCIe x4
301140,116486,150 GB,,10000 RPM,16 MB,3.5 in,SATA 3 Gb/s
301141,116487,500 GB,,5400 RPM,8 MB,2.5 in,SATA 6 Gb/s
301142,116488,240 GB,,SSD,,2.5 in,SATA 6 Gb/s
301143,116489,1 TB,,SSD,,M.2-2280,M.2 (M)
301144,116490,256 GB,0.22,SSD,,2.5 in,SATA 6 Gb/s
301145,116491,128 GB,0.22,SSD,,2.5 in,SATA 6 Gb/s
301146,116492,250 GB,0.3,SSD,,M.2-2280,M.2 (B+M)
301147,116493,250 GB,0.18,SSD,,2.5 in,SATA 6 Gb/s
301148,116494,512 GB,0.18,SSD,,M.2-2280,M.2 (M)
301149,116495,128 GB,0.32,SSD,,2.5 in,SATA 6 Gb/s
301150,116496,6 TB,0.04,5400 RPM,128 MB,3.5 in,SATA 6 Gb/s
301151,116497,512 GB,,SSD,,M.2-2280,M.2 (B+M)
301152,116498,512 GB,,SSD,,M.2-2280,M.2 (M)
301153,116499,6 TB,0.03,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301154,116500,240 GB,0.34,SSD,,2.5 in,SATA 6 Gb/s
301155,116501,2 TB,0.06,5400 RPM,32 MB,3.5 in,SATA 3 Gb/s
301156,116502,128 GB,0.89,SSD,,2.5 in,SATA 6 Gb/s
301157,116503,3 TB,,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301158,116504,750 GB,,SSD,,2.5 in,SATA 6 Gb/s
301159,116505,128 GB,,SSD,,M.2-2280,M.2 (B+M)
301160,116506,1 TB,0.15,SSD,,M.2-2280,M.2 (B+M)
301161,116507,2 TB,,7200 RPM,64 MB,3.5 in,SATA 3 Gb/s
301162,116508,640 GB,0.06,7200 RPM,16 MB,3.5 in,SATA 3 Gb/s
301163,116509,500 GB,0.16,SSD,,2.5 in,SATA 6 Gb/s
301164,116510,2 TB,0.15,7200 RPM,128 MB,2.5 in,SATA 6 Gb/s
301165,116511,240 GB,0.63,SSD,,2.5 in,SATA 6 Gb/s
301166,116512,120 GB,0.29,SSD,,2.5 in,SATA 6 Gb/s
301167,116513,6 TB,0.06,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301168,116514,500 GB,0.33,7200 RPM,16 MB,3.5 in,SATA 3 Gb/s
301169,116515,160 GB,0.16,7200 RPM,8 MB,3.5 in,SATA 3 Gb/s
301170,116516,512 GB,,SSD,,M.2-2280,M.2 (M)
301171,116517,1 TB,,SSD,,M.2-2280,M.2 (M)
301172,116518,960 GB,0.23,SSD,,2.5 in,SATA 6 Gb/s
301173,116519,1.92 TB,0.11,SSD,,2.5 in,SATA 6 Gb/s
301174,116520,3 TB,0.03,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
301175,116521,256 GB,,SSD,,2.5 in,SATA 6 Gb/s
301176,116522,500 GB,0.09,7200 RPM,8 MB,3.5 in,SATA 3 Gb/s
301177,116523,240 GB,0.4,SSD,,2.5 in,SATA 6 Gb/s
301178,116524,6 TB,0.17,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301179,116525,512 GB,0.27,SSD,,M.2-2280,M.2 (M)
301180,116526,480 GB,,SSD,,2.5 in,SATA 6 Gb/s
301181,116527,14 TB,,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301182,116528,240 GB,,SSD,,2.5 in,SATA 6 Gb/s
301183,116529,240 GB,,SSD,,2.5 in,SATA 6 Gb/s
301184,116530,480 GB,,SSD,,2.5 in,SATA 6 Gb/s
301185,116531,8 TB,0.03,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301186,116532,480 GB,0.35,SSD,512 MB,2.5 in,SATA 6 Gb/s
301187,116533,8 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301188,116534,240 GB,0.25,SSD,,2.5 in,SATA 6 Gb/s
301189,116535,512 GB,0.56,SSD,,2.5 in,SATA 6 Gb/s
301190,116536,320 GB,0.1,5400 RPM,8 MB,3.5 in,SATA 3 Gb/s
301191,116537,160 GB,0.78,7200 RPM,8 MB,3.5 in,SATA 6 Gb/s
301192,116538,2 TB,0.08,5900 RPM,8 MB,2.5 in,SATA 6 Gb/s
301193,116539,1 TB,0.08,5400 RPM,32 MB,3.5 in,SATA 3 Gb/s
301194,116540,256 GB,0.24,SSD,,M.2-2280,M.2 (M)
301195,116541,2 TB,0.07,7200 RPM,16 MB,3.5 in,SAS 6 Gb/s
301196,116542,128 GB,,SSD,256 MB,M.2-2280,M.2 (M)
301197,116543,960 GB,0.41,SSD,,2.5 in,SATA 6 Gb/s
301198,116544,8 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301199,116545,12 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301200,116546,5 TB,0.04,5900 RPM,128 MB,3.5 in,SATA 6 Gb/s
301201,116547,500 GB,0.26,10000 RPM,64 MB,3.5 in,SATA 6 Gb/s
301202,116548,512 GB,,SSD,,M.2-2280,M.2 (M)
301203,116549,2 TB,0.1,7200 RPM,64 MB,3.5 in,SATA 3 Gb/s
301204,116550,2 TB,0.07,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301205,116551,240 GB,,SSD,,2.5 in,SATA 6 Gb/s
301206,116552,500 GB,,SSD,,2.5 in,SATA 6 Gb/s
301207,116553,500 GB,,SSD,,2.5 in,SATA 6 Gb/s
301208,116554,1 TB,0.05,7200 RPM,64 MB,2.5 in,SAS 6 Gb/s
301209,116555,1 TB,0.12,SSD,,2.5 in,SATA 6 Gb/s
301210,116556,12 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301211,116557,320 GB,0.08,7200 RPM,16 MB,2.5 in,SATA 3 Gb/s
301212,116558,12 TB,0.05,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301213,116559,960 GB,0.17,SSD,,2.5 in,SATA 6 Gb/s
301214,116560,5 TB,,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
301215,116561,10 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301216,116562,40 GB,3.16,SSD,,2.5 in,SATA 3 Gb/s
301217,116563,6 TB,0.03,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
301218,116564,60 GB,2.98,SSD,,2.5 in,SATA 6 Gb/s
301219,116565,500 GB,0.08,5400 RPM,8 MB,2.5 in,SATA 3 Gb/s
301220,116566,120 GB,1.06,SSD,32 MB,2.5 in,SATA 6 Gb/s
301221,116567,1 TB,,7200 RPM,32 MB,3.5 in,SATA 3 Gb/s
301222,116568,4 TB,,Hybrid,64 MB,3.5 in,SATA 6 Gb/s
301223,116569,512 GB,,SSD,,2.5 in,SATA 6 Gb/s
301224,116570,256 GB,1.25,SSD,,2.5 in,SATA 6 Gb/s
301225,116571,120 GB,,SSD,,2.5 in,SATA 6 Gb/s
301226,116572,2 TB,0.07,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301227,116573,512 GB,0.15,SSD,,M.2-2280,M.2 (M)
301228,116574,4 TB,0.06,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301229,116575,256 GB,0.22,SSD,,M.2-2280,M.2 (M)
301230,116576,3 TB,0.05,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301231,116577,240 GB,0.19,SSD,,2.5 in,SATA 6 Gb/s
301232,116578,80 GB,0.58,7200 RPM,8 MB,3.5 in,SATA 3 Gb/s
301233,116579,500 GB,0.09,5900 RPM,16 MB,3.5 in,SATA 3 Gb/s
301234,116580,1 TB,0.06,5400 RPM,64 MB,3.5 in,SATA 3 Gb/s
301235,116581,256 GB,1.81,SSD,,2.5 in,SATA 6 Gb/s
301236,116582,120 GB,0.92,SSD,,2.5 in,SATA 6 Gb/s
301237,116583,1 TB,0.22,5900 RPM,32 MB,3.5 in,SATA 3 Gb/s
301238,116584,256 GB,,SSD,,M.2-2280,M.2 (M)
301239,116585,240 GB,,SSD,,M.2-2280,M.2 (M)
301240,116586,2 TB,,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
301241,116587,1.92 TB,,SSD,,M.2-22110,M.2 (M)
301242,116588,480 GB,,SSD,,2.5 in,SATA 6 Gb/s
301243,116589,128 GB,,SSD,,2.5 in,SATA 6 Gb/s
301244,116590,1 TB,,7200 RPM,64 MB,3.5 in,SAS 6 Gb/s
301245,116591,256 GB,,SSD,,M.2-2280,M.2 (B+M)
301246,116592,2 TB,0.03,7200 RPM,64 MB,3.5 in,SAS 6 Gb/s
301247,116593,1.92 TB,,SSD,,M.2-2280,M.2 (M)
301248,116594,500 GB,0.1,7200 RPM,16 MB,2.5 in,SATA 6 Gb/s
301249,116595,64 GB,0.86,SSD,,M.2-2280,M.2 (B+M)
301250,116596,250 GB,0.12,7200 RPM,16 MB,2.5 in,SATA 3 Gb/s
301251,116597,10 TB,0.04,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
301252,116598,240 GB,0.18,SSD,,2.5 in,SATA 6 Gb/s
301253,116599,1 TB,0.13,5400 RPM,64 MB,3.5 in,SATA 3 Gb/s
301254,116600,1 TB,0.25,5900 RPM,64 MB,3.5 in,SATA 6 Gb/s
301255,116601,128 GB,0.4,SSD,,M.2-2280,M.2 (B+M)
301256,116602,500 GB,0.07,5400 RPM,8 MB,2.5 in,SATA 3 Gb/s
301257,116603,8 TB,,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301258,116604,8 TB,,5900 RPM,128 MB,3.5 in,SATA 6 Gb/s
301259,116605,64 GB,2.08,SSD,,2.5 in,SATA 6 Gb/s
301260,116606,512 GB,,SSD,,M.2-2280,M.2 (M)
301261,116607,750 GB,,5400 RPM,8 MB,2.5 in,SATA 3 Gb/s
301262,116608,1 TB,0.27,SSD,,M.2-2280,M.2 (M)
301263,116609,2 TB,0.08,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301264,116610,960 GB,0.11,SSD,,2.5 in,SATA 6 Gb/s
301265,116611,6 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301266,116612,2 TB,,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301267,116613,320 GB,0.09,5400 RPM,8 MB,2.5 in,SATA 3 Gb/s
301268,116614,14 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301269,116615,128 GB,0.68,SSD,,M.2-2280,M.2 (B+M)
301270,116616,512 GB,,SSD,,2.5 in,SATA 6 Gb/s
301271,116617,1 TB,,5900 RPM,64 MB,3.5 in,SATA 6 Gb/s
301272,116618,64 GB,,SSD,,2.5 in,SATA 6 Gb/s
301273,116619,1 TB,,SSD,,2.5 in,SATA 6 Gb/s
301274,116620,512 GB,,SSD,,M.2-2280,M.2 (M)
301275,116621,3 TB,,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301276,116622,256 GB,,SSD,,2.5 in,SATA 3 Gb/s
301277,116623,6 TB,0.03,5400 RPM,256 MB,3.5 in,SATA 6 Gb/s
301278,116624,8 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301279,116625,960 GB,0.17,SSD,,2.5 in,SATA 6 Gb/s
301280,116626,320 GB,0.08,7200 RPM,16 MB,2.5 in,SATA 3 Gb/s
301281,116627,512 GB,,SSD,,M.2-2280,M.2 (M)
301282,116628,60 GB,,SSD,,2.5 in,SATA 6 Gb/s
301283,116629,480 GB,0.13,SSD,,2.5 in,SATA 6 Gb/s
301284,116630,1 TB,0.93,SSD,,2.5 in,SATA 6 Gb/s
301285,116631,120 GB,0.57,SSD,,2.5 in,SATA 6 Gb/s
301286,116632,480 GB,0.21,SSD,,M.2-2280,M.2 (M)
301287,116633,128 GB,0.22,SSD,,2.5 in,SATA 6 Gb/s
301288,116634,240 GB,0.18,SSD,,2.5 in,SATA 6 Gb/s
301289,116635,128 GB,0.79,SSD,,2.5 in,SATA 6 Gb/s
301290,116636,1.5 TB,0.21,5400 RPM,64 MB,3.5 in,SATA 6 Gb/s
301291,116637,120 GB,0.39,SSD,,2.5 in,SATA 6 Gb/s
301292,116638,1 TB,,7200 RPM,16 MB,3.5 in,SATA 3 Gb/s
301293,116639,8 TB,0.04,5400 RPM,128 MB,3.5 in,SATA 6 Gb/s
301294,116640,256 GB,,SSD,,M.2-2280,M.2 (M)
301295,116641,256 GB,0.89,SSD,,M.2-2280,M.2 (B+M)
301296,116642,120 GB,,SSD,,2.5 in,SATA 6 Gb/s
301297,116643,120 GB,,SSD,,2.5 in,SATA 6 Gb/s
301298,116644,256 GB,0.2,SSD,,mSATA,mSATA
301299,116645,10 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301300,116646,480 GB,0.11,SSD,,2.5 in,SATA 6 Gb/s
301301,116647,240 GB,0.33,SSD,,2.5 in,SATA 6 Gb/s
301302,116648,8 TB,0.04,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301303,116649,512 GB,,SSD,,M.2-2280,M.2 (B+M)
301304,116650,280 GB,,SSD,,2.5 in,U.2
301305,116651,500 GB,0.59,SSD,,mSATA,mSATA
301306,116652,3 TB,0.07,5900 RPM,64 MB,3.5 in,SATA 6 Gb/s
301307,116653,800 GB,0.39,SSD,,2.5 in,PCIe x4
301308,116654,120 GB,1.74,SSD,,2.5 in,SATA 6 Gb/s
301309,116655,1.6 TB,0.73,SSD,,PCI-E,PCIe x8
301310,116656,250 GB,0.11,7200 RPM,8 MB,3.5 in,SATA 3 Gb/s
301311,116657,1 TB,0.08,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301312,116658,500 GB,0.16,5400 RPM,16 MB,3.5 in,SATA 3 Gb/s
301313,116659,240 GB,,SSD,,M.2-2280,M.2 (B+M)
301314,116660,500 GB,0.09,7200 RPM,16 MB,2.5 in,SATA 3 Gb/s
301315,116661,120 GB,0.66,SSD,,2.5 in,SATA 6 Gb/s
301316,116662,1 TB,0.1,7200 RPM,32 MB,2.5 in,SATA 6 Gb/s
301317,116663,128 GB,0.87,SSD,,2.5 in,SATA 6 Gb/s
301318,116664,480 GB,0.18,SSD,,2.5 in,SATA 6 Gb/s
301319,116665,750 GB,0.19,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301320,116666,1 TB,,5400 RPM,8 MB,2.5 in,SATA 6 Gb/s
301321,116667,512 GB,0.63,SSD,,M.2-2280,M.2 (M)
301322,116668,64 GB,0.74,SSD,,2.5 in,SATA 6 Gb/s
301323,116669,240 GB,,SSD,,PCI-E,PCIe x4
301324,116670,1 TB,0.16,7200 RPM,64 MB,3.5 in,SATA 3 Gb/s
301325,116671,240 GB,,SSD,,2.5 in,SATA 6 Gb/s
301326,116672,1 TB,,SSD,,M.2-2280,M.2 (M)
301327,116673,256 GB,,SSD,,2.5 in,SATA 6 Gb/s
301328,116674,2 TB,,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301329,116675,250 GB,,SSD,,2.5 in,SATA 6 Gb/s
301330,116676,128 GB,,SSD,,M.2-2280,M.2 (M)
301331,116677,128 GB,,SSD,,2.5 in,SATA 6 Gb/s
301332,116678,512 GB,,SSD,,2.5 in,SATA 6 Gb/s
301333,116679,12 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301334,116680,240 GB,0.15,SSD,,2.5 in,SATA 6 Gb/s
301335,116681,12 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301336,116682,6 TB,0.03,7200 RPM,128 MB,3.5 in,SATA 6 Gb/s
301337,116683,1 TB,0.27,SSD,,M.2-2280,M.2 (M)
301338,116684,500 GB,0.09,Hybrid,32 MB,2.5 in,SATA 6 Gb/s
301339,116685,4 TB,,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301340,116686,14 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301341,116687,3 TB,0.05,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301342,116688,240 GB,1.07,SSD,,2.5 in,SATA 6 Gb/s
301343,116689,512 GB,,SSD,512 MB,M.2-2280,M.2 (M)
301344,116690,32 GB,1.66,SSD,,M.2-2242,M.2 (B+M)
301345,116691,750 GB,0.06,7200 RPM,16 MB,3.5 in,SATA 6 Gb/s
301346,116692,1 TB,,SSD,,PCI-E,PCIe x8
301347,116693,2 TB,,7200 RPM,32 MB,3.5 in,SATA 3 Gb/s
301348,116694,500 GB,0.1,7200 RPM,16 MB,3.5 in,SATA 3 Gb/s
301349,116695,128 GB,,SSD,,2.5 in,SATA 6 Gb/s
301350,116696,1 TB,,SSD,,M.2-2280,M.2 (M)
301351,116697,1.5 TB,,7200 RPM,64 MB,3.5 in,SATA 6 Gb/s
301352,116698,256 GB,,SSD,,2.5 in,SATA 6 Gb/s
301353,116699,960 GB,,SSD,,M.2-2280,M.2 (M)
301354,116700,800 GB,0.18,SSD,,2.5 in,U.2
301355,116701,320 GB,,7200 RPM,8 MB,3.5 in,PATA 100
301356,116702,1 TB,0.08,7200 RPM,,3.5 in,SATA 6 Gb/s
301357,116703,6 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301358,116704,128 GB,0.59,SSD,,M.2-2280,M.2 (M)
301359,116705,256 GB,0.34,SSD,,M.2-2280,M.2 (M)
301360,116706,6 TB,0.03,7200 RPM,256 MB,3.5 in,SATA 6 Gb/s
301361,116707,960 GB,0.24,SSD,,2.5 in,SATA 6 Gb/s
