mouse_id,product_id,tracking_method,connection_type,maximum_dpi,hand_orientation,color
335937,135293,Optical,Wired,1600,Right,Multicolor
335938,135294,Optical,Wired,1600,Right,Multicolor
335939,135295,Optical,Wireless,,Both,Multicolor
335940,135296,Optical,Wireless,,Both,Multicolor
335941,135297,Optical,Wireless,,Both,Multicolor
335942,135298,Optical,Wireless,1600,Both,Black
335943,135299,Optical,Wired,800,Both,Green
335944,135300,Optical,Wireless,16000,Both,Red
335945,135301,Optical,Wired,,Right,White / Black
335946,135302,Laser,Wired,3200,Right,White / Black
335947,135303,Laser,Wired,,Both,Black
335948,135304,Laser,Wired,3600,Both,Black
335949,135305,Laser,Wired,3600,Both,Black
335950,135306,Laser,Bluetooth Wireless,,Right,White
335951,135307,Laser,Bluetooth Wireless,,Right,Black / Red
335952,135308,Laser,Wireless,1200,Right,Black
335953,135309,Laser,Wired,1000,Both,Black
335954,135310,Optical,Wired,3000,Right,Black
335955,135311,Laser,Wired,8200,Right,Black / White
335956,135312,Optical,Wired,800,Both,Multicolor
335957,135313,Optical,Wired,,Right,Gray / Black
335958,135314,Optical,Wired,4000,Right,Black
335959,135315,Optical,Wireless,800,Right,Black / Yellow
335960,135316,Optical,Wired,2400,Both,Red / Black
335961,135317,Optical,Wired,3200,,Orange / Black
335962,135318,Optical,Wireless,1600,Right,Black
335963,135319,Laser,Wired,6400,Both,Black
335964,135320,Optical,Wired,,Both,Black
335965,135321,Optical,Wired,400,Both,White
335966,135322,Laser,Wired,8200,Both,Black
335967,135323,Optical,Wired,2400,Both,Multicolor
335968,135324,Optical,Wireless,1750,Right,Black / Red
335969,135325,Optical,Wired,1600,Right,White / Blue
335970,135326,Optical,Wired,1600,Right,Pink
335971,135327,Optical,Bluetooth Wireless,,Both,Black / Silver
335972,135328,Optical,Wired,10000,Right,
335973,135329,Laser,Wired,3000,Both,Black
335974,135330,Optical,Wireless,1000,Both,Purple
335975,135331,Optical,Wired,3200,Both,Black
335976,135332,Optical,Wired,3200,Right,Black
335977,135333,Optical,Wired,800,Both,Blue / Black
335978,135334,Optical,Wired,2500,Both,White / Black
335979,135335,Optical,Wired,2300,Both,Black / Yellow
335980,135336,Laser,Wired,6400,Both,White
335981,135337,Optical,Wireless,,Both,Blue / Silver
335982,135338,Optical,Wired,2000,Right,Black
335983,135339,Optical,Wired,3500,Right,Black / Red
335984,135340,Optical,Wired,800,Both,White
335985,135341,Optical,Wired,1600,Right,Black
335986,135342,Optical,Wireless,,Both,Black
335987,135343,Optical,Wireless,,Both,Yellow / Black
335988,135344,Optical,Wireless,,Both,Pink / Black
335989,135345,Laser,Wired,8200,Right,Black / Orange
335990,135346,Optical,Wired,1000,Both,Black
335991,135347,Optical,Wireless,,Both,Black
335992,135348,Laser,Wireless,,Both,Gray / Black
335993,135349,Laser,Wired,6400,Right,White
335994,135350,Optical,Wireless,,Both,Blue
335995,135351,Optical,Wireless,,Both,Black
335996,135352,Optical,Wired,4000,Right,Black / Blue
335997,135353,Optical,Wireless,2000,Both,Black / Silver
335998,135354,Optical,Wired,3200,Right,Black
335999,135355,Optical,Wired,3200,Right,Black
336000,135356,Optical,Wireless,4800,Right,Red / Black
336001,135357,Laser,Wired,5600,Right,Red
336002,135358,Laser,Wired,5600,Right,Yellow
336003,135359,Optical,Wireless,1000,Both,Black
336004,135360,Laser,Bluetooth Wireless,,Both,White
336005,135361,Laser,Wired,8200,Right,Black / White
336006,135362,Optical,Wired,3500,Right,White / Red
336007,135363,Optical,Wireless,,Both,Multicolor
336008,135364,Optical,Wireless,,Both,Multicolor
336009,135365,Laser,Wireless,1200,Both,Beige
336010,135366,Optical,Wired,7000,Both,Black / White
336011,135367,Optical,Wired,1000,Both,Black
336012,135368,Laser,Wired,5600,Right,Red
336013,135369,Laser,Wired,6400,Right,Black / Red
336014,135370,Optical,Wired,3500,Right,Black / Red
336015,135371,Optical,Wired,3500,Right,White
336016,135372,Optical,Wireless,1200,Both,Black / Silver
336017,135373,Laser,Wired,,Both,Black
336018,135374,Optical,Wireless,1600,Right,White
336019,135375,Optical,Wired,2000,Both,Black
336020,135376,Optical,Wired,2000,Both,Black / Silver
336021,135377,Optical,Wireless,2000,Right,Black / Red
336022,135378,Optical,Wireless,,Both,Purple
336023,135379,Optical,Wired,3000,Right,Black
336024,135380,Optical,Wireless,,Both,Blue / White
336025,135381,Optical,Wireless,1000,Both,Blue / White
336026,135382,Laser,Wired,4000,Both,Multicolor
336027,135383,Optical,Wireless,,Both,Purple
336028,135384,Optical,Wired,3200,Both,White / Yellow
336029,135385,Optical,Wireless,1000,Right,Black
336030,135386,Optical,Wireless,,Both,Black
336031,135387,Optical,Bluetooth Wireless,1600,Both,Black
336032,135388,Laser,Wireless,2000,Both,Black / Silver
336033,135389,Laser,Wired,4000,Both,Red
336034,135390,Laser,Wired,8200,Both,Black / Blue
336035,135391,Laser,Wired,6000,Right,Black
336036,135392,Optical,Wireless,1000,Right,Blue
336037,135393,Laser,Wired,3200,Right,Black
336038,135394,Laser,Wireless,,Both,Multicolor
336039,135395,Optical,Wired,8200,Right,Black / Red
336040,135396,Optical,Wired,4800,Right,Camo
336041,135397,Optical,Wireless,,Both,Black
336042,135398,Laser,Wireless,1000,Right,Black / Blue
336043,135399,Optical,Wireless,,Both,Gray
336044,135400,Laser,Wireless,1200,Both,Black / Silver
336045,135401,Optical,Wireless,1000,Both,Black
336046,135402,Laser,Wireless,2000,Right,Black / Blue
336047,135403,Optical,Wireless,,Both,Black / Pink
336048,135404,Optical,Wired,,Both,Black
336049,135405,Laser,Bluetooth Wireless,4000,Both,Black
336050,135406,Laser,Wireless,,Both,Black / Red
336051,135407,Laser,Wireless,1600,Right,Black / Silver
336052,135408,Optical,Wireless,1000,Both,Black / Red
336053,135409,Laser,Wireless,,Both,Purple
336054,135410,Optical,Wired,800,Both,White / Gray
336055,135411,Laser,Wired,1600,Both,Black
336056,135412,Trackball,Wireless,,Both,Black
336057,135413,Optical,Wired,,Both,Black
336058,135414,Optical,Wireless,1000,Both,Black
336059,135415,Optical,Wireless,,,Black / Blue
336060,135416,Optical,Wireless,,Both,Red
336061,135417,Optical,Wireless,,Both,Black / Red
336062,135418,Optical,Wireless,1000,Both,Red
336063,135419,Optical,Wireless,2400,Right,Silver / Black
336064,135420,Optical,Wireless,,Right,Purple
336065,135421,Optical,Wired,,,Purple
336066,135422,Laser,Wired,,Right,Silver / Black
336067,135423,Optical,Wireless,,Right,Blue / Black
336068,135424,Optical,Wired,1600,Right,Green
336069,135425,Laser,Wireless,,Both,Blue
336070,135426,Optical,Bluetooth Wireless,,Both,Black
336071,135427,Optical,Wireless,1750,Right,Black
336072,135428,Laser,Wireless,,Right,Black / Gray
336073,135429,Optical,Wireless,1000,Both,White / Black
336074,135430,Laser,Bluetooth Wireless,,Both,Black
336075,135431,Optical,Wireless,,Right,Blue
336076,135432,Optical,Wireless,1600,Left,Black
336077,135433,Optical,Wireless,1000,Both,Green / Black
336078,135434,Optical,Wireless,1600,Right,Red / Black
336079,135435,Optical,Wireless,,,Red
336080,135436,Optical,Wireless,1600,Right,Black
336081,135437,Laser,Wireless,,Right,Black / Silver
336082,135438,Optical,Wireless,,Right,Black / Blue
336083,135439,Laser,Bluetooth Wireless,1000,Both,Black / Red
336084,135440,Optical,Wired,1000,Right,Black
336085,135441,Optical,Wireless,,Both,Pink / Black
336086,135442,Optical,Wireless,,Both,Red
336087,135443,Optical,Wireless,,Right,Green
336088,135444,Optical,Wireless,2000,Right,Red
336089,135445,Optical,Wireless,1600,Right,Black
336090,135446,Optical,Wireless,,Right,Black
336091,135447,Optical,Wired,1600,Both,Blue / Black
336092,135448,Optical,Wireless,4800,Right,Black
336093,135449,Optical,Wireless,2000,Right,Black
336094,135450,Optical,Wired,,Both,Silver / Black
336095,135451,Optical,Wired,,Both,Black
336096,135452,Optical,Wireless,,,Black
336097,135453,Optical,Wireless,,Both,Red
336098,135454,Optical,Wireless,1000,Both,Green / Silver
336099,135455,Optical,Wired,6400,Left,Black
336100,135456,Optical,Wired,,,Purple
336101,135457,Optical,Wireless,,,Gray / Black
336102,135458,Optical,Wireless,,,Blue
336103,135459,Optical,Wired,,Both,Black
336104,135460,Touchpad,Wired,,Both,Black
336105,135461,Optical,Wireless,,Both,Black
336106,135462,Optical,Wired,,Both,Black / Gray
336107,135463,Optical,Wireless,,Right,Blue / Black
336108,135464,Optical,Wired,1000,Both,Black / Gray
336109,135465,Optical,Wireless,1200,Both,Black
336110,135466,Optical,Wired,,Right,Black / Silver
336111,135467,Laser,Wireless,,Right,Black
336112,135468,Optical,Wireless,,Both,Blue / Black
336113,135469,Optical,Wireless,,Both,Red / Black
336114,135470,Optical,Wireless,1000,Both,Blue / Black
336115,135471,Optical,Wired,400,Right,Blue / White
336116,135472,Laser,Wireless,,Both,Black
336117,135473,Optical,Wired,,Both,Black
336118,135474,Laser,Wired,8200,Both,Black
336119,135475,Laser,Bluetooth Wireless,1200,Both,Black / Red
336120,135476,Optical,Wired,1000,Left,Black / Silver
336121,135477,Optical,Wired,,Both,Black / Blue
336122,135478,Trackball,Wired,,Both,Black / Blue
336123,135479,Optical,Wireless,1600,Right,Black / Silver
336124,135480,Optical,Wired,1000,Both,Black
336125,135481,Optical,Wired,2400,Right,Black
336126,135482,Optical,Wireless,1000,Both,Black
336127,135483,Optical,Wireless,1000,Both,Gray
336128,135484,Optical,Wired,1000,Both,Black
336129,135485,Laser,Wired,1200,Both,Black / Silver
336130,135486,Optical,Wired,1600,Both,Red / Black
336131,135487,Optical,Wired,800,Both,White
336132,135488,Optical,Wireless,1600,Both,Blue / White
336133,135489,Optical,Bluetooth Wireless,800,Right,Silver / Black
336134,135490,Optical,Bluetooth Wireless,800,Right,White
336135,135491,Laser,Wireless,,Right,Black / Silver
336136,135492,Laser,Wireless,1000,Both,Black / Blue
336137,135493,Optical,Wireless,1000,Both,Black / Silver
336138,135494,Optical,Wireless,4800,Right,Black / Red
336139,135495,Optical,Wireless,1000,Both,Pink / Black
336140,135496,Laser,Bluetooth Wireless,,Both,Black / Silver
336141,135497,Optical,Wireless,,Both,Black
336142,135498,Laser,Wired,,Left,Silver / Black
336143,135499,Optical,Wireless,,Both,Black
336144,135500,Optical,Wired,,,Black
336145,135501,Optical,Bluetooth Wireless,1000,,Black
336146,135502,Optical,Wireless,,Both,White
336147,135503,Touchpad,Wired,,Both,Black
336148,135504,Optical,Wireless,1000,Both,Red / Black
336149,135505,Laser,Wired,5700,Right,Black / Red
336150,135506,Optical,Wireless,,Both,Blue
336151,135507,Optical,Wireless,,Right,Red / Black
336152,135508,Optical,Wireless,1600,Both,Black
336153,135509,Laser,Wireless,1600,Both,Black
336154,135510,Optical,Wireless,1000,Both,Pink
336155,135511,Optical,Wireless,1000,Both,Blue
336156,135512,Laser,Wireless,,Both,Black
336157,135513,Laser,Wireless,,Right,Black / Green
336158,135514,Optical,Wired,,Both,Black
336159,135515,Laser,Wired,,Right,Black
336160,135516,Optical,Wired,3500,Both,Green
336161,135517,Optical,Wireless,,Both,Purple / Black
336162,135518,Optical,Wired,3500,Right,Black
336163,135519,Laser,Wired,8200,Right,Black / Silver
336164,135520,Optical,Wired,400,Both,Black
336165,135521,Optical,Wireless,1200,Both,Black
336166,135522,Laser,Wired,8200,Right,Red / Black
336167,135523,Optical,Wired,800,Both,Silver / Black
336168,135524,Laser,Wired,8200,Right,Black / Silver
336169,135525,Optical,Wireless,1200,Both,Black
336170,135526,Optical,Wired,4000,Right,Black
336171,135527,Laser,Bluetooth Wireless,1600,Both,Multicolor
336172,135528,Optical,Bluetooth Wireless,,Both,Gray / Black
336173,135529,Optical,Wireless,,Both,Black
336174,135530,Optical,Wireless,,Both,Black
336175,135531,Laser,Wireless,3200,Right,Black
336176,135532,Optical,Wired,5000,Right,Brown / Black
336177,135533,Optical,Wireless,,Both,Black
336178,135534,Optical,Wireless,,Both,Multicolor
336179,135535,Optical,Wired,5000,Both,Black / Orange
336180,135536,Optical,Wired,3500,Right,Red
336181,135537,Optical,Wireless,,Both,Blue
336182,135538,Optical,Wired,800,Both,Black
336183,135539,Optical,Wired,6400,Right,Black / Orange
336184,135540,Optical,Wireless,1000,Both,Pink
336185,135541,Optical,Wireless,1200,Both,Black
336186,135542,Optical,Wireless,1600,Right,Red / Black
336187,135543,Optical,Wired,800,Both,Black
336188,135544,Laser,Wired,1200,Both,Black / Silver
336189,135545,Laser,Wireless,1200,Both,Black / Silver
336190,135546,Optical,Wired,,Both,Silver / Black
336191,135547,Laser,Wireless,,Both,Black
336192,135548,Optical,Wired,7000,Both,Black
336193,135549,Optical,Wireless,1600,Right,Blue / Black
336194,135550,Optical,Wired,3200,Right,Silver / Black
336195,135551,Optical,Wireless,1600,Right,Black
336196,135552,Optical,Wireless,1600,Right,Black / Yellow
336197,135553,Optical,Wireless,1600,Right,Blue / Black
336198,135554,Optical,Wired,5000,Right,Gray
336199,135555,Optical,Wireless,,,Blue
336200,135556,Optical,Wireless,,,Red
