speakers_id,product_id,configuration,total_wattage,frequency_response,color
365223,139041,2,50 W,80 Hz - 20 kHz,Black
365224,139042,2,3 W,200 Hz - 20 kHz,
365225,139043,1,100 W,52 Hz - 35 kHz,Black / Red
365226,139044,2,100 W,48 Hz - 20 kHz,
365227,139045,2.1,22 W,,
365228,139046,2.1,70 W,35 Hz - 20 kHz,
365229,139047,1,150 W,37 Hz - 22 kHz,Black
365230,139048,2,0 W,70 Hz - 20 kHz,Black / Red
365231,139049,2,6 W,150 Hz - 20 kHz,
365232,139050,2,18 W,20 Hz - 20 kHz,
365233,139051,2.1,200 W,,
365234,139052,2,5 W,,
365235,139053,2,50 W,80 Hz - 20 kHz,Brown / Black
365236,139054,1,220 W,38 Hz - 22 kHz,Black
365237,139055,2.1,40 W,50 Hz - 18 kHz,
365238,139056,2.1,0 W,,
365239,139057,2,100 W,50 Hz - 20 kHz,
365240,139058,1,120 W,40 Hz - 180 Hz,Black
365241,139059,2.1,68 W,22 Hz - 20 kHz,
365242,139060,5.1,0 W,,
365243,139061,2,50 W,80 Hz - 20 kHz,Blue / Black
365244,139062,2.1,17 W,,
365245,139063,2,3.4 W,280 Hz - 16 kHz,
365246,139064,2,1 W,200 Hz - 20 kHz,
365247,139065,2,0 W,200 Hz - 18 kHz,
365248,139066,2,112 W,35 Hz - 20 kHz,
365249,139067,2,140 W,56 Hz - 22 kHz,
365250,139068,2,260 W,30 Hz - 22 kHz,
365251,139069,2,30 W,50 Hz - 20 kHz,
365252,139070,2,0 W,60 Hz - 20 kHz,
365253,139071,2,3 W,,
365254,139072,2,80 W,65 Hz - 20 kHz,
365255,139073,2,1 W,,
365256,139074,2,130 W,46 Hz - 20 kHz,
365257,139075,2,40 W,75 Hz - 20 kHz,
365258,139076,2,30 W,65 Hz - 22 kHz,
365259,139077,2,20 W,90 Hz - 20 kHz,
365260,139078,2,40 W,85 Hz - 20 kHz,
365261,139079,2.1,25 W,40 Hz - 20 kHz,
365262,139080,2.1,9 W,40 Hz - 20 kHz,
365263,139081,2.1,33 W,40 Hz - 20 kHz,
365264,139082,2,0 W,,
365265,139083,1,100 W,45 Hz - 22 kHz,Black / Silver
365266,139084,2.1,77 W,35 Hz - 20 kHz,
365267,139085,2,170 W,38 Hz - 20 kHz,
365268,139086,2,20 W,80 Hz - 20 kHz,
365269,139087,2.1,29 W,40 Hz - 20 kHz,
365270,139088,2,70 W,80 Hz - 20 kHz,Black / Brown
365271,139089,2.1,12 W,20 Hz - 20 kHz,
365272,139090,2,4 W,100 Hz - 20 kHz,
365273,139091,2,6 W,150 Hz - 20 kHz,
365274,139092,2,6 W,,
365275,139093,5.1,40 W,70 Hz - 20 kHz,
365276,139094,2,140 W,44 Hz - 20 kHz,
365277,139095,2,40 W,50 Hz - 20 kHz,
365278,139096,1,100 W,52 Hz - 35 kHz,Black
365279,139097,1,130 W,38 Hz - 22 kHz,Black / Silver
365280,139098,2,3 W,200 Hz - 20 kHz,
365281,139099,2,100 W,57 Hz - 20 kHz,
365282,139100,2,3 W,200 Hz - 20 kHz,
365283,139101,2,140 W,50 Hz - 20 kHz,
365284,139102,2.1,80 W,30 Hz - 20 kHz,
365285,139103,2,6 W,150 Hz - 20 kHz,
365286,139104,2,4 W,,
365287,139105,2.1,40 W,50 Hz - 18 kHz,
365288,139106,2,4 W,220 Hz - 20 kHz,
365289,139107,2,5.8 W,35 Hz - 18 kHz,
365290,139108,2,100 W,50 Hz - 22 kHz,
365291,139109,2,90 W,66 Hz - 22 kHz,
365292,139110,2,10 W,120 Hz - 20 kHz,
365293,139111,2,50 W,20 Hz - 20 kHz,
365294,139112,2.1,64 W,35 Hz - 20 kHz,
365295,139113,2.1,77 W,35 Hz - 20 kHz,
