ups_id,product_id,capacity_w,capacity_va
375384,139500,600,1000
375385,139501,700,1000
375386,139502,1000,1500
375387,139503,1600,2170
375388,139504,2250,3000
375389,139505,,600
375390,139506,2700,2880
375391,139507,375,600
375392,139508,180,300
375393,139509,1600,2200
375394,139510,1600,2200
375395,139511,300,550
375396,139512,4200,6000
375397,139513,5400,6000
375398,139514,1200,1500
375399,139515,1600,2200
375400,139516,2500,3000
375401,139517,700,1000
375402,139518,980,1500
375403,139519,1600,2200
375404,139520,2250,3000
375405,139521,940,1200
375406,139522,425,600
375407,139523,400,800
375408,139524,1000,1500
375409,139525,900,1500
375410,139526,2400,3000
375411,139527,900,1500
375412,139528,510,850
375413,139529,450,750
375414,139530,500,750
375415,139531,300,550
375416,139532,325,650
375417,139533,280,450
375418,139534,640,1000
375419,139535,1980,2200
375420,139536,480,750
375421,139537,2700,3000
375422,139538,480,900
375423,139539,180,350
375424,139540,700,1000
375425,139541,4000,5000
375426,139542,800,1000
375427,139543,3750,5000
375428,139544,1920,2200
375429,139545,2400,3000
375430,139546,330,550
375431,139547,300,500
375432,139548,280,450
375433,139549,600,750
375434,139550,4250,5000
375435,139551,2700,3000
375436,139552,600,750
375437,139553,2700,3000
375438,139554,1125,1500
375439,139555,700,1000
375440,139556,1350,1500
375441,139557,1350,1500
375442,139558,5600,8000
375443,139559,950,1500
375444,139560,980,1500
375445,139561,700,1000
375446,139562,2700,3000
375447,139563,500,750
375448,139564,500,750
375449,139565,260,420
375450,139566,280,450
375451,139567,500,750
375452,139568,500,750
375453,139569,6000,6000
375454,139570,900,1500
375455,139571,255,350
375456,139572,700,1000
375457,139573,900,1000
375458,139574,400,500
375459,139575,560,750
375460,139576,180,350
375461,139577,450,750
375462,139578,300,550
375463,139579,280,450
375464,139580,300,550
375465,139581,350,650
375466,139582,1350,1500
375467,139583,1920,2200
375468,139584,1920,2200
375469,139585,600,750
375470,139586,900,1000
375471,139587,2700,3000
375472,139588,600,750
375473,139589,750,1000
375474,139590,600,750
375475,139591,1900,2200
375476,139592,1920,2200
375477,139593,600,750
375478,139594,4000,5000
375479,139595,800,1000
375480,139596,2250,3000
375481,139597,640,1000
375482,139598,390,650
375483,139599,210,350
375484,139600,210,350
375485,139601,300,500
375486,139602,240,400
375487,139603,1000,1440
375488,139604,1980,2200
375489,139605,1980,2200
375490,139606,2700,3000
375491,139607,4000,5000
375492,139608,480,750
375493,139609,700,1000
375494,139610,700,1000
375495,139611,390,620
375496,139612,2700,3000
375497,139613,1800,1920
375498,139614,50,
375499,139615,900,1500
375500,139616,700,1000
375501,139617,750,1000
375502,139618,600,700
375503,139619,675,750
375504,139620,1125,1500
375505,139621,940,1400
375506,139622,345,600
375507,139623,300,550
375508,139624,300,550
375509,139625,300,600
375510,139626,300,500
375511,139627,300,500
375512,139628,475,900
375513,139629,475,800
375514,139630,900,1000
375515,139631,4200,6000
