cpu_cooler_id,product_id,fan_rpm,noise_level,color,radiator_size
280570,112162,300 - 1300 RPM,15 - 21 dB,,
280571,112163,500 - 2000 RPM,23.9 dB,Black / Silver,
280572,112164,200 - 1800 RPM,24.4 dB,,
280573,112165,500 - 2000 RPM,6 - 30 dB,,120 mm
280574,112166,2400 RPM,6.5 - 27 dB,,120 mm
280575,112167,900 - 1300 RPM,16.1 - 22.5 dB,,
280576,112168,,22.5 dB,,
280577,112169,300 - 2300 RPM,7.3 - 28.83 dB,Black / Silver,
280578,112170,500 - 2000 RPM,16 - 35 dB,,120 mm
280579,112171,750 - 1600 RPM,12 - 26.7 dB,,
280580,112172,1200 - 3000 RPM,19.3 - 44.5 dB,Black / Silver,
280581,112173,1200 - 3400 RPM,18 - 26 dB,,
280582,112174,600 - 3000 RPM,15 - 30 dB,,
280583,112175,1300 - 2650 RPM,18 - 27.5 dB,,
280584,112176,,0 dB,,
280585,112177,600 - 1800 RPM,21.9 - 27.6 dB,,
280586,112178,2000 RPM,22 dB,,
280587,112179,800 - 2500 RPM,37.6 dB,Black,120 mm
280588,112180,800 - 2800 RPM,33.4 dB,,
280589,112181,2000 RPM,8 - 24 dB,,
280590,112182,500 - 2300 RPM,14 - 28 dB,,360 mm
280591,112183,900 - 2000 RPM,16.3 - 33.5 dB,Black,240 mm
280592,112184,4200 RPM,31.8 dB,,
280593,112185,900 - 2000 RPM,16.3 - 33.5 dB,Black,240 mm
280594,112186,650 - 2000 RPM,6 - 30 dB,,
280595,112187,2400 RPM,30 dB,,
280596,112188,900 - 2000 RPM,16.3 - 33.5 dB,White / Pink,240 mm
280597,112189,700 - 1500 RPM,18 - 26.4 dB,White,120 mm
280598,112190,800 - 1500 RPM,25 dB,Black,240 mm
280599,112191,600 - 3000 RPM,13.5 - 26.5 dB,,
280600,112192,2200 RPM,22 dB,,
280601,112193,2000 RPM,,,120 mm
280602,112194,800 - 1900 RPM,20.3 - 34.5 dB,,
280603,112195,1400 - 2800 RPM,20 - 32 dB,,
280604,112196,400 - 1400 RPM,5.3 - 28 dB,,
280605,112197,800 - 1700 RPM,26.9 dB,,240 mm
280606,112198,550 - 2500 RPM,18.5 - 32 dB,,
280607,112199,500 - 1800 RPM,17.8 - 30 dB,Black,240 mm
280608,112200,800 - 2200 RPM,27.9 dB,,
280609,112201,800 - 2400 RPM,12 - 35 dB,,240 mm
280610,112202,,0 dB,,
280611,112203,2200 RPM,27 dB,,
280612,112204,900 - 1800 RPM,36 dB,Black / White,120 mm
280613,112205,500 - 1350 RPM,,,120 mm
280614,112206,2200 RPM,24.7 dB,,
280615,112207,2200 RPM,,,120 mm
280616,112208,1500 - 2600 RPM,17.39 - 22.7 dB,,
280617,112209,,0 dB,,
280618,112210,800 - 2000 RPM,21 - 37 dB,,140 mm
280619,112211,900 - 1600 RPM,17.8 - 21 dB,,
280620,112212,800 - 2000 RPM,18 - 38 dB,,
280621,112213,900 - 2000 RPM,17 - 24 dB,,
280622,112214,1600 - 2000 RPM,26 - 31.5 dB,,
280623,112215,1100 RPM,29.4 dB,Black / Blue,280 mm
280624,112216,900 - 1800 RPM,18.2 - 32.4 dB,,
280625,112217,700 - 1800 RPM,18 - 35.2 dB,Black / White,120 mm
280626,112218,1700 - 3100 RPM,18 - 33.4 dB,,
280627,112219,200 - 2100 RPM,,Green / Black,
280628,112220,2200 RPM,8 - 24 dB,,
280629,112221,300 - 1300 RPM,15 - 21 dB,Orange / Silver,
280630,112222,800 - 2200 RPM,16.5 - 27.4 dB,Black / White,240 mm
280631,112223,1200 - 3500 RPM,21.56 - 62.88 dB,,
280632,112224,1000 - 6000 RPM,21.5 - 55.8 dB,,
280633,112225,700 - 1800 RPM,8.3 - 28.8 dB,,280 mm
280634,112226,800 - 1800 RPM,,Black,280 mm
280635,112227,1600 RPM,8 - 24 dB,,
280636,112228,1000 - 2650 RPM,17 - 33 dB,,
280637,112229,800 - 2000 RPM,6 - 28 dB,Black / Silver,
280638,112230,2000 RPM,21 - 39 dB,,280 mm
280639,112231,1000 - 2000 RPM,20 dB,,120 mm
280640,112232,,,,
280641,112233,800 - 2800 RPM,17 - 35 dB,,
280642,112234,600 - 2800 RPM,12 - 28 dB,,
280643,112235,700 - 1800 RPM,18 - 35.2 dB,Black,240 mm
280644,112236,800 - 1800 RPM,16 - 26 dB,,
280645,112237,1000 - 2200 RPM,30.1 dB,,
280646,112238,600 - 2400 RPM,,,120 mm
280647,112239,300 - 2500 RPM,7.2 - 31.07 dB,,
280648,112240,1000 - 3000 RPM,33 dB,,
280649,112241,3200 RPM,25.17 dB,,
280650,112242,,0 dB,,
280651,112243,2600 RPM,28 dB,,
280652,112244,650 - 2200 RPM,10.5 - 31.67 dB,,
280653,112245,300 - 1400 RPM,12 - 19 dB,,
280654,112246,800 - 1800 RPM,29 dB,Black / Red,
280655,112247,1200 - 2600 RPM,15 - 27.2 dB,,
280656,112248,1200 - 2000 RPM,10 - 27.36 dB,,120 mm
280657,112249,1350 - 2600 RPM,18 - 27.5 dB,,
280658,112250,300 - 1400 RPM,13 - 28 dB,,
280659,112251,600 - 2000 RPM,,,
280660,112252,800 - 1800 RPM,29 dB,Black / Blue,
280661,112253,120 - 1350 RPM,22.5 dB,,
280662,112254,600 - 2200 RPM,15 - 38 dB,Black / White,
280663,112255,900 - 1800 RPM,36 dB,Black / White,360 mm
280664,112256,1500 - 7000 RPM,16 - 47.5 dB,,
280665,112257,,,,
280666,112258,700 - 1800 RPM,18 - 35.2 dB,Black / White,240 mm
280667,112259,300 - 1400 RPM,12.6 - 31.1 dB,,
280668,112260,750 - 1200 RPM,10.1 - 19.6 dB,,
280669,112261,200 - 1800 RPM,23.5 dB,Black,
280670,112262,600 - 1800 RPM,18.2 - 32.4 dB,,
280671,112263,900 - 1300 RPM,17 - 21 dB,,
280672,112264,,22.5 dB,,
280673,112265,500 - 1500 RPM,8 - 24.8 dB,,
280674,112266,600 - 1800 RPM,18.2 - 32.4 dB,,120 mm
280675,112267,600 - 1300 RPM,25.4 dB,,
280676,112268,600 - 1850 RPM,13 - 38 dB,,280 mm
280677,112269,600 - 1600 RPM,32 dB,,
280678,112270,600 - 1800 RPM,19 - 25 dB,Silver / Red,
280679,112271,1500 - 3400 RPM,18 - 26 dB,,
280680,112272,800 - 1800 RPM,10 - 21 dB,,
280681,112273,150 - 1500 RPM,28.6 dB,,
280682,112274,2000 RPM,22.5 dB,,
280683,112275,850 - 2200 RPM,14 - 29.8 dB,,
280684,112276,1100 RPM,19 dB,,
280685,112277,500 - 1600 RPM,31 dB,Black / Silver,
280686,112278,1000 - 5500 RPM,56 dB,,
280687,112279,1450 - 2000 RPM,,,120 mm
280688,112280,600 - 1800 RPM,17.8 - 34.1 dB,,240 mm
280689,112281,750 - 1600 RPM,12 - 25.4 dB,,
280690,112282,,,,
280691,112283,,0 dB,,
280692,112284,1000 - 1500 RPM,24.53 dB,,
280693,112285,300 - 1400 RPM,8 - 26.8 dB,,
280694,112286,1000 - 2500 RPM,14.7 - 29.8 dB,,
280695,112287,400 - 1800 RPM,14 - 33 dB,Black,
280696,112288,700 - 1800 RPM,18 - 35.2 dB,Black,360 mm
280697,112289,800 - 3600 RPM,17 - 35.8 dB,,
280698,112290,2400 RPM,19 - 40.33 dB,,240 mm
280699,112291,500 - 2000 RPM,22.5 dB,,
280700,112292,,0 dB,,
280701,112293,700 - 1800 RPM,18 - 35.2 dB,,240 mm
280702,112294,800 - 1700 RPM,26.9 dB,,120 mm
280703,112295,600 - 3000 RPM,17.2 - 30.54 dB,,
280704,112296,600 - 2200 RPM,17.6 - 39.3 dB,,240 mm
280705,112297,1500 - 1700 RPM,13.5 - 26.4 dB,,
280706,112298,1000 - 5000 RPM,20.71 - 51.7 dB,,
280707,112299,1500 - 2800 RPM,14.1 - 27.7 dB,Blue / Silver,
280708,112300,1100 RPM,25 dB,Black,120 mm
280709,112301,1600 RPM,17.8 - 21 dB,,
280710,112302,600 - 2500 RPM,14 - 33 dB,Black / White,
280711,112303,800 - 2400 RPM,12 - 35 dB,,240 mm
280712,112304,1300 - 1800 RPM,26.5 - 34 dB,,
280713,112305,300 - 1350 RPM,,,
280714,112306,1000 - 1600 RPM,7.9 - 17.6 dB,,
280715,112307,700 - 2400 RPM,27.4 dB,,120 mm
280716,112308,600 - 2200 RPM,14 - 23.8 dB,,
280717,112309,200 - 1400 RPM,28.43 dB,Black,
280718,112310,500 - 1200 RPM,10 - 19 dB,,
280719,112311,2000 RPM,21 - 39 dB,,140 mm
280720,112312,800 - 2800 RPM,16 - 27 dB,,
280721,112313,900 - 1800 RPM,30 dB,Black / White,240 mm
280722,112314,3000 RPM,,,
280723,112315,900 - 2000 RPM,14 dB,,
280724,112316,,0 dB,,
280725,112317,2800 RPM,22 dB,,
280726,112318,800 - 1700 RPM,22 dB,,
280727,112319,1500 - 2500 RPM,15 - 25 dB,,
280728,112320,,,,
280729,112321,1000 - 4000 RPM,12 - 40 dB,,
280730,112322,600 - 2000 RPM,9 - 36 dB,,
280731,112323,800 - 1800 RPM,29 dB,Black / Blue,
280732,112324,700 - 1200 RPM,12 - 19.3 dB,,
280733,112325,800 - 1600 RPM,18 - 26.1 dB,White,
280734,112326,900 - 2200 RPM,17.8 - 34.6 dB,,
280735,112327,800 - 1700 RPM,26.9 dB,,360 mm
280736,112328,500 - 1300 RPM,17 - 21 dB,,
280737,112329,1000 - 1500 RPM,24.53 dB,,
280738,112330,900 - 2200 RPM,10 - 23.5 dB,,
280739,112331,1000 - 2200 RPM,,,
280740,112332,800 - 2500 RPM,16 - 27.3 dB,,
280741,112333,500 - 2000 RPM,18 - 41 dB,Silver / Black,
280742,112334,800 - 2800 RPM,,,
280743,112335,300 - 1200 RPM,4 - 24.9 dB,Black / Yellow,
280744,112336,500 - 2000 RPM,,,
280745,112337,600 - 2200 RPM,17.6 - 39.29 dB,,240 mm
280746,112338,,,,240 mm
280747,112339,1500 RPM,24.6 dB,,
280748,112340,1000 - 2000 RPM,16 - 20 dB,,
280749,112341,700 - 1800 RPM,18 - 35.2 dB,Black,120 mm
280750,112342,500 - 2300 RPM,14 - 28 dB,,240 mm
280751,112343,2200 RPM,22 dB,,
280752,112344,,19 dB,,
280753,112345,900 - 2500 RPM,22 - 30 dB,,
280754,112346,800 - 1600 RPM,16.8 - 32.6 dB,Black / White,280 mm
280755,112347,1200 - 5000 RPM,18.02 - 42.5 dB,,
280756,112348,,22.5 dB,,
280757,112349,900 - 1700 RPM,18 - 30 dB,,
280758,112350,2200 RPM,17 dB,,
280759,112351,500 - 2000 RPM,,,
280760,112352,600 - 2200 RPM,17.6 - 39.29 dB,,120 mm
280761,112353,800 - 2000 RPM,20 - 38.2 dB,,240 mm
280762,112354,800 - 1600 RPM,18 - 30.2 dB,,
280763,112355,500 - 1500 RPM,14 - 25 dB,Black,280 mm
280764,112356,800 - 2200 RPM,15 - 38 dB,,
280765,112357,600 - 1800 RPM,17.8 - 34.1 dB,,120 mm
280766,112358,500 - 1600 RPM,25.3 dB,,
280767,112359,,,,120 mm
280768,112360,600 - 1300 RPM,25.4 dB,,
280769,112361,,,,
280770,112362,600 - 2500 RPM,14.5 - 25 dB,,
280771,112363,1500 - 4000 RPM,16.2 - 37.5 dB,,
280772,112364,1200 - 1500 RPM,18 - 22 dB,,
280773,112365,1500 - 2500 RPM,18 - 35 dB,Black / White,240 mm
280774,112366,800 - 3000 RPM,14 - 33 dB,Blue / White,
280775,112367,850 - 1200 RPM,22 - 24 dB,,
280776,112368,1200 - 2000 RPM,10 - 27.36 dB,,120 mm
280777,112369,700 - 1800 RPM,18 - 35.2 dB,White,120 mm
280778,112370,600 - 1600 RPM,13.8 - 30.2 dB,Black,
280779,112371,600 - 2200 RPM,17.6 - 39.29 dB,,120 mm
280780,112372,1000 - 2150 RPM,20 - 39 dB,,
280781,112373,900 - 1500 RPM,17.8 - 30 dB,,
280782,112374,300 - 1300 RPM,15 - 21 dB,,
280783,112375,1200 - 2600 RPM,15 - 27.8 dB,,
280784,112376,900 - 2500 RPM,22 - 30 dB,,
280785,112377,1150 - 2300 RPM,17 - 32 dB,,
280786,112378,700 - 1300 RPM,,Black / White,
280787,112379,800 - 2000 RPM,15 - 33.2 dB,,
280788,112380,1000 - 1600 RPM,19 - 28 dB,,
280789,112381,1000 - 2100 RPM,16 - 27.1 dB,,
280790,112382,1800 RPM,16.2 - 29.2 dB,,
280791,112383,950 - 1350 RPM,17 - 21 dB,,
280792,112384,700 - 1800 RPM,18 - 35.2 dB,Black,120 mm
280793,112385,700 - 1800 RPM,18 - 35.2 dB,Black,240 mm
280794,112386,1200 - 2500 RPM,20 - 43 dB,,
280795,112387,1000 - 2400 RPM,19.3 - 30 dB,,
280796,112388,1250 - 2800 RPM,19.5 - 35 dB,,
280797,112389,600 - 2400 RPM,19 - 40 dB,,120 mm
280798,112390,900 - 2500 RPM,22 - 30 dB,,
280799,112391,,0 dB,,
280800,112392,4800 RPM,36 dB,,
280801,112393,300 - 1700 RPM,5.8 - 36.4 dB,,
280802,112394,500 - 1600 RPM,6.9 - 28.9 dB,,
280803,112395,2600 RPM,22.2 dB,,
280804,112396,750 - 1600 RPM,25.4 - 25.5 dB,,
280805,112397,2200 RPM,22 dB,,
280806,112398,,,,
280807,112399,800 - 3300 RPM,8.2 - 32.5 dB,,
280808,112400,750 - 1500 RPM,12 - 26.5 dB,,
280809,112401,1200 - 1800 RPM,39 dB,,
280810,112402,800 - 2200 RPM,16 - 23 dB,,
280811,112403,2200 RPM,31.6 dB,,
280812,112404,300 - 1300 RPM,15 - 21 dB,,
280813,112405,500 - 1800 RPM,21.2 dB,,240 mm
280814,112406,1500 - 2500 RPM,16 - 33.5 dB,,120 mm
280815,112407,600 - 2500 RPM,21 - 45 dB,,
280816,112408,,,,
280817,112409,300 - 1300 RPM,15 - 21 dB,,
280818,112410,600 - 2000 RPM,9 - 36 dB,,
280819,112411,600 - 1800 RPM,9 - 34.6 dB,,
280820,112412,1800 RPM,16.2 - 29.2 dB,,
280821,112413,1300 - 1800 RPM,26.5 - 34 dB,,
280822,112414,,,,120 mm
280823,112415,800 - 2000 RPM,27 dB,,
280824,112416,1200 - 2100 RPM,21 - 48 dB,,
280825,112417,700 - 1800 RPM,8.3 - 28.8 dB,,140 mm
280826,112418,400 - 1350 RPM,22.5 dB,,
280827,112419,300 - 1300 RPM,17 - 24.9 dB,,
280828,112420,2200 RPM,22 dB,,
280829,112421,300 - 1800 RPM,4 - 23.6 dB,,
280830,112422,1000 - 2500 RPM,17 - 31.92 dB,,
280831,112423,700 - 1400 RPM,26 dB,,
280832,112424,1000 - 2600 RPM,24.8 - 33.4 dB,,
280833,112425,500 - 1400 RPM,8 - 22 dB,,
280834,112426,1350 - 2600 RPM,18 - 27 dB,,
280835,112427,800 - 1800 RPM,16 - 33 dB,,240 mm
280836,112428,500 - 1600 RPM,8 - 30 dB,,
280837,112429,700 - 1200 RPM,13.4 - 19 dB,,
280838,112430,700 RPM,18.5 dB,,
280839,112431,500 - 1500 RPM,18.2 dB,,
280840,112432,1000 - 2600 RPM,21.6 - 36.6 dB,,240 mm
280841,112433,1000 - 2600 RPM,21.6 - 36.6 dB,,240 mm
280842,112434,2500 RPM,18 - 26.4 dB,,120 mm
280843,112435,650 - 2200 RPM,10.5 - 31.67 dB,,
280844,112436,,,,
280845,112437,900 - 2500 RPM,,Black / Red,
280846,112438,800 - 2400 RPM,17 dB,,
280847,112439,600 - 1900 RPM,6.9 - 28.9 dB,,
280848,112440,900 - 2000 RPM,,,120 mm
280849,112441,500 - 4000 RPM,18.07 - 39.03 dB,,
280850,112442,500 - 1300 RPM,13 - 30.7 dB,,
280851,112443,1000 - 2200 RPM,18.89 - 36.7 dB,,120 mm
280852,112444,500 - 4000 RPM,18.07 - 39.03 dB,,
280853,112445,1200 - 2100 RPM,18.2 - 30 dB,,
280854,112446,600 - 1400 RPM,28 dB,,
280855,112447,800 - 2800 RPM,20 - 34 dB,,
280856,112448,600 - 1600 RPM,13.8 - 30.2 dB,,
280857,112449,,26 dB,,
280858,112450,600 - 2400 RPM,16 - 35 dB,,120 mm
280859,112451,900 - 1300 RPM,17 - 21 dB,,
280860,112452,800 - 1500 RPM,18.5 - 30.8 dB,Black,
280861,112453,800 - 1600 RPM,18 - 30.2 dB,,
280862,112454,600 - 1900 RPM,6.9 - 28.9 dB,Yellow / Black,
280863,112455,500 - 2000 RPM,18 - 41 dB,,
280864,112456,300 - 1600 RPM,9.6 - 32.15 dB,,
280865,112457,800 - 1800 RPM,15.1 - 31.6 dB,,
280866,112458,1500 RPM,7.8 - 21.4 dB,,
280867,112459,600 - 2200 RPM,17.6 - 39.29 dB,,240 mm
280868,112460,600 - 1800 RPM,21.9 - 27.6 dB,,
280869,112461,1600 RPM,20.5 dB,,120 mm
280870,112462,1000 - 2200 RPM,30.1 dB,,
280871,112463,2500 RPM,30 dB,,240 mm
280872,112464,1500 - 2500 RPM,18 - 35 dB,,240 mm
280873,112465,1500 - 2500 RPM,18 - 35 dB,,120 mm
280874,112466,700 - 1800 RPM,18 - 35.2 dB,,120 mm
280875,112467,600 - 1800 RPM,17.8 - 34.1 dB,,240 mm
280876,112468,2000 RPM,19.39 - 31.05 dB,,
280877,112469,800 - 2200 RPM,16.5 - 27.4 dB,,120 mm
280878,112470,700 RPM,13.4 - 19 dB,,
280879,112471,1200 - 5000 RPM,18.02 - 42.5 dB,,
280880,112472,2300 RPM,29 dB,,
280881,112473,500 - 1500 RPM,18.2 dB,,
280882,112474,2200 RPM,31.2 dB,,
280883,112475,300 - 1500 RPM,4 - 29.8 dB,,
280884,112476,800 - 2800 RPM,19 - 27 dB,,
280885,112477,1000 - 1950 RPM,17 - 33 dB,,
280886,112478,750 - 1500 RPM,12 - 25.5 dB,,
280887,112479,,,,
280888,112480,800 - 2200 RPM,38.1 dB,,
280889,112481,700 - 1800 RPM,18 - 35.2 dB,,240 mm
280890,112482,500 - 2000 RPM,22.5 dB,,
280891,112483,1000 - 3000 RPM,16 - 25.3 dB,,
280892,112484,900 - 1800 RPM,30 dB,Black / White,120 mm
280893,112485,800 - 2000 RPM,20 - 38.2 dB,,240 mm
280894,112486,750 - 2500 RPM,13.2 - 41.5 dB,,
280895,112487,1200 - 2800 RPM,16 - 24 dB,,
280896,112488,1600 RPM,28 dB,,
280897,112489,400 - 1350 RPM,,,
280898,112490,2000 RPM,9 - 36 dB,,
280899,112491,900 - 1300 RPM,21 - 25 dB,,
280900,112492,800 - 2000 RPM,21 - 44 dB,,
280901,112493,1200 RPM,19.2 - 22.4 dB,,
280902,112494,800 - 2600 RPM,20 - 32 dB,,
280903,112495,2200 RPM,23 dB,,
280904,112496,300 - 2300 RPM,7.2 - 28.26 dB,Silver / Black,
280905,112497,1200 RPM,25 dB,,
280906,112498,800 - 1800 RPM,16 - 33 dB,,360 mm
280907,112499,700 - 1800 RPM,18 - 35.2 dB,,360 mm
280908,112500,1200 - 3000 RPM,15 - 38 dB,,
280909,112501,900 - 1500 RPM,17.8 - 30 dB,,
280910,112502,500 - 1300 RPM,13 - 30.7 dB,,
280911,112503,,0 dB,,
280912,112504,1200 - 2800 RPM,20 - 28 dB,,
280913,112505,1400 - 2800 RPM,20 - 32 dB,,
280914,112506,1000 - 2000 RPM,20 - 39.9 dB,,
280915,112507,200 - 1400 RPM,28.43 dB,Black,
280916,112508,1000 - 4500 RPM,13.14 - 45.9 dB,,
280917,112509,600 - 1000 RPM,23 dB,,
280918,112510,2750 RPM,28.2 dB,,
280919,112511,900 - 2000 RPM,,,120 mm
280920,112512,900 - 2600 RPM,14 - 33 dB,,
280921,112513,1000 - 2200 RPM,16.39 - 33.5 dB,,
280922,112514,900 - 1300 RPM,17 - 21 dB,,
280923,112515,1500 - 2800 RPM,14.1 - 27.7 dB,Blue / White,
280924,112516,900 - 2200 RPM,10 - 24.1 dB,,
280925,112517,4500 RPM,39 dB,,
280926,112518,700 - 1400 RPM,17.8 - 31.1 dB,,
280927,112519,900 - 2000 RPM,,,120 mm
280928,112520,1250 - 2800 RPM,19.5 - 35 dB,,
280929,112521,1300 - 2000 RPM,16 - 24 dB,,
280930,112522,1250 - 1950 RPM,17 - 25 dB,,
280931,112523,300 - 1600 RPM,26.5 dB,,
280932,112524,400 - 1350 RPM,,,
280933,112525,800 - 2200 RPM,25 dB,Black / Silver,
280934,112526,1000 - 2600 RPM,21.6 - 36.6 dB,,240 mm
280935,112527,600 - 1800 RPM,10 - 26.8 dB,,
280936,112528,1000 - 2000 RPM,,,
280937,112529,750 - 1500 RPM,12 - 25.5 dB,,
280938,112530,500 - 2000 RPM,15 - 24 dB,,
280939,112531,800 - 2000 RPM,15 - 33.2 dB,,
280940,112532,600 - 1800 RPM,21.9 - 27.6 dB,,
280941,112533,900 - 2800 RPM,12 - 31 dB,,
280942,112534,800 - 2150 RPM,17.2 - 39 dB,,
280943,112535,500 - 2000 RPM,,,
280944,112536,1200 - 3000 RPM,16 - 33 dB,,240 mm
280945,112537,300 - 2500 RPM,12 - 16 dB,,
280946,112538,1200 - 1800 RPM,15 - 23 dB,,
280947,112539,1300 RPM,,,
280948,112540,,0 dB,,
280949,112541,800 - 1800 RPM,16.2 - 29.2 dB,,
280950,112542,2400 RPM,30 dB,,
280951,112543,800 - 1500 RPM,16 - 24 dB,,
280952,112544,600 - 2200 RPM,,,
280953,112545,1000 - 2000 RPM,,,
280954,112546,600 - 2500 RPM,14 - 33 dB,,
280955,112547,600 - 1000 RPM,23 dB,,
280956,112548,650 - 1400 RPM,28 dB,,
280957,112549,1000 - 5000 RPM,20.5 - 49.8 dB,,
280958,112550,,,,
280959,112551,210 - 2100 RPM,28.8 dB,,
280960,112552,,,,
280961,112553,800 - 2200 RPM,15 - 35 dB,,
280962,112554,1300 - 2000 RPM,16 - 24 dB,,
280963,112555,1300 RPM,13.4 - 19 dB,,
280964,112556,1800 RPM,21 dB,,
280965,112557,300 - 2500 RPM,7.2 - 31.07 dB,,
280966,112558,,,,
280967,112559,2400 RPM,26.2 dB,,
280968,112560,,0 dB,,
280969,112561,4200 RPM,44 dB,,
280970,112562,5500 RPM,,,
280971,112563,600 - 2500 RPM,21 - 45 dB,,
280972,112564,400 - 1800 RPM,8 - 24.3 dB,,
280973,112565,400 - 1350 RPM,,,
280974,112566,700 - 1200 RPM,13.4 - 19 dB,,
280975,112567,600 - 1600 RPM,,,
280976,112568,1200 - 2500 RPM,28 dB,,
280977,112569,2500 RPM,25 dB,,
280978,112570,1500 RPM,9.6 - 24.4 dB,,
280979,112571,800 - 1200 RPM,18 dB,,
280980,112572,1000 - 2000 RPM,,,
280981,112573,900 - 2500 RPM,22 - 30 dB,,
280982,112574,600 - 2500 RPM,15 - 30 dB,,120 mm
280983,112575,650 - 2200 RPM,10.5 - 31.67 dB,,
280984,112576,900 - 2000 RPM,17 - 36 dB,,120 mm
280985,112577,800 - 3300 RPM,8.2 - 32.5 dB,,
280986,112578,800 - 1600 RPM,16 - 20.2 dB,,
280987,112579,500 - 1500 RPM,24.6 dB,Black / Silver,
280988,112580,800 - 3300 RPM,8.2 - 32.5 dB,,
280989,112581,1500 - 2500 RPM,18 - 35 dB,,240 mm
280990,112582,700 RPM,13.4 - 19 dB,,
280991,112583,600 - 2400 RPM,19 - 40 dB,,
280992,112584,1400 - 2200 RPM,16 - 38 dB,,
280993,112585,2500 RPM,30 dB,,120 mm
280994,112586,800 - 1600 RPM,,,
280995,112587,,,,
280996,112588,800 - 2000 RPM,9.9 - 21.9 dB,,
280997,112589,600 - 1900 RPM,11.5 - 31.5 dB,,
280998,112590,600 - 1900 RPM,8 - 27 dB,,
280999,112591,2600 RPM,33 dB,,
281000,112592,1000 - 1600 RPM,19 - 28 dB,,
281001,112593,900 - 1300 RPM,17 - 21 dB,,
281002,112594,1350 - 2400 RPM,17 - 24 dB,,
281003,112595,1200 - 2500 RPM,20 - 43 dB,,120 mm
281004,112596,1000 - 2000 RPM,17 - 21 dB,,
281005,112597,,26.5 dB,,
281006,112598,800 - 2600 RPM,20 - 32 dB,,
281007,112599,1000 - 2200 RPM,30.1 dB,,
281008,112600,1000 - 2200 RPM,28 dB,,
281009,112601,1200 - 2500 RPM,28 dB,,
281010,112602,900 - 2300 RPM,30 dB,,
281011,112603,1000 - 2800 RPM,20 - 28 dB,,
281012,112604,1000 - 1600 RPM,17 - 26 dB,,
281013,112605,300 - 1500 RPM,4 - 29.8 dB,,
281014,112606,,,,
281015,112607,,,,
281016,112608,650 - 1400 RPM,28 dB,,
281017,112609,2200 RPM,18 dB,,
281018,112610,750 - 1800 RPM,12 - 28 dB,,
281019,112611,800 - 1500 RPM,16.5 - 30.8 dB,,
281020,112612,1500 - 7000 RPM,16 - 47.5 dB,,
281021,112613,800 - 2800 RPM,20 - 34 dB,,
281022,112614,1000 - 7000 RPM,21.5 - 59.14 dB,,
281023,112615,500 - 1800 RPM,18 - 38.4 dB,,
281024,112616,800 - 1200 RPM,18 dB,,
281025,112617,1000 - 2200 RPM,16.39 - 33.5 dB,,
281026,112618,1100 - 6000 RPM,19.1 - 53.8 dB,,
281027,112619,470 - 1900 RPM,7.05 - 37 dB,,
281028,112620,1250 - 2800 RPM,19.5 - 35 dB,,
281029,112621,1800 RPM,23 dB,,
281030,112622,,0 dB,,
281031,112623,800 - 1200 RPM,18 dB,,
281032,112624,1500 - 2500 RPM,16 - 33.5 dB,,240 mm
281033,112625,1000 - 2300 RPM,23.2 - 46.6 dB,,240 mm
281034,112626,,0 dB,,
281035,112627,1000 - 3000 RPM,28 dB,,
281036,112628,700 - 1200 RPM,13.4 - 19 dB,,
281037,112629,800 - 1800 RPM,20 dB,,
281038,112630,2000 RPM,25 dB,,
281039,112631,1000 - 2800 RPM,22 dB,,
281040,112632,2200 RPM,30.1 dB,,
281041,112633,2200 RPM,30.1 dB,,
281042,112634,,9.32 - 33.67 dB,,
281043,112635,1400 - 2000 RPM,16 - 28.9 dB,,
281044,112636,1000 - 2600 RPM,21.6 - 36.6 dB,,240 mm
281045,112637,1800 RPM,22.3 dB,,
281046,112638,1500 - 2500 RPM,18.5 - 28 dB,,
281047,112639,900 - 1300 RPM,17 - 21 dB,,
281048,112640,700 - 1500 RPM,17 - 28.5 dB,,
281049,112641,500 - 2000 RPM,9.32 - 33.67 dB,,
281050,112642,300 - 2500 RPM,7.2 - 31.1 dB,,
281051,112643,1400 - 2800 RPM,20 - 32 dB,,
281052,112644,700 - 1200 RPM,18.2 - 26.7 dB,,
281053,112645,900 - 1500 RPM,21.4 - 32.1 dB,,
281054,112646,1500 RPM,19 dB,,
281055,112647,700 - 1500 RPM,17 - 28.5 dB,,
281056,112648,1500 - 2500 RPM,18 - 35 dB,,120 mm
281057,112649,800 - 1800 RPM,15.1 - 31.6 dB,,
281058,112650,800 - 2800 RPM,16 - 28 dB,,
281059,112651,800 - 2800 RPM,16 - 27 dB,,
281060,112652,,,,
281061,112653,2500 RPM,30 dB,,120 mm
281062,112654,900 - 1400 RPM,19 - 27 dB,,
281063,112655,800 - 2500 RPM,15 - 35 dB,,
281064,112656,1500 - 2800 RPM,14.1 - 27.7 dB,Blue / White,
281065,112657,500 - 1700 RPM,9.6 - 36.4 dB,,
281066,112658,3500 RPM,30.6 dB,,
281067,112659,800 - 1500 RPM,16 - 24 dB,,
281068,112660,740 - 3700 RPM,21 - 40 dB,,
281069,112661,1000 - 2000 RPM,22.7 - 37.1 dB,,
281070,112662,800 - 2200 RPM,17.3 - 31.2 dB,,120 mm
281071,112663,800 - 1800 RPM,16 - 21 dB,,
281072,112664,650 - 1800 RPM,6 - 27 dB,Black,120 mm
281073,112665,650 - 1800 RPM,6 - 27 dB,Black,240 mm
281074,112666,,,,
