motherboard_id,product_id,socket_per_cpu,form_factor,ram_slots,max_ram,color
332278,133594,AM3/AM2+/AM2,Micro ATX,4,16 GB,
332279,133595,AM3,ATX,4,16 GB,Black / Blue
332280,133596,AM3,ATX,4,16 GB,Blue / White
332281,133597,LGA775,Micro ATX,4,8 GB,Green / Blue
332282,133598,LGA1366,EATX,6,24 GB,Black / Red
332283,133599,LGA775,Micro ATX,2,8 GB,Green / Blue
332284,133600,LGA775,Micro ATX,2,8 GB,Black / Blue
332285,133601,LGA1156,ATX,4,16 GB,Blue / White
332286,133602,AM3,Micro ATX,2,8 GB,Black / Blue
332287,133603,AM3,Micro ATX,4,16 GB,Black / Blue
332288,133604,LGA1155,Micro ATX,2,16 GB,Brown / Black
332289,133605,LGA1150,ATX,4,32 GB,Black / Red
332290,133606,LGA2011-3,EATX,8,128 GB,Black / Yellow
332291,133607,LGA775,ATX,4,8 GB,Black / Blue
332292,133608,AM3,XL ATX,4,16 GB,Blue / White
332293,133609,LGA775,ATX,2,8 GB,Black / Blue
332294,133610,LGA1155,Micro ATX,4,32 GB,
332295,133611,FM2+,Micro ATX,4,64 GB,Black / Blue
332296,133612,LGA1155,ATX,2,16 GB,Blue / White
332297,133613,LGA1155,ATX,4,32 GB,Black / Red
332298,133614,LGA1156,ATX,4,16 GB,
332299,133615,LGA1155,ATX,4,32 GB,Black / Red
332300,133616,LGA775,ATX,4,8 GB,
332301,133617,LGA1151,Micro ATX,2,32 GB,Brown / Black
332302,133618,LGA1156,Micro ATX,2,8 GB,Black / Blue
332303,133619,FM2+,ATX,4,64 GB,Black / Silver
332304,133620,LGA1155,Micro ATX,4,32 GB,Blue / White
332305,133621,LGA1150,ATX,4,32 GB,Black / Gold
332306,133622,FM2+,Mini ITX,2,32 GB,Brown / Black
332307,133623,LGA1150,Micro ATX,2,16 GB,Black / Gray
332308,133624,LGA1155,Micro ATX,2,16 GB,Black / Blue
332309,133625,LGA775,ATX,4,16 GB,Blue / White
332310,133626,LGA1155,ATX,4,32 GB,
332311,133627,LGA1150,Mini ITX,2,16 GB,
332312,133628,LGA1150,ATX,4,32 GB,Black / Red
332313,133629,AM3/AM2+/AM2,ATX,4,16 GB,
332314,133630,LGA1156,ATX,4,16 GB,Black / Red
332315,133631,LGA1366,ATX,6,24 GB,
332316,133632,LGA1151,Micro ATX,2,32 GB,Silver / Black
332317,133633,LGA1155,ATX,4,32 GB,Green / Black
332318,133634,LGA1155,Micro ATX,2,16 GB,Blue
332319,133635,LGA1155,ATX,4,32 GB,Black
332320,133636,LGA1155,ATX,4,32 GB,
332321,133637,LGA1155,ATX,4,32 GB,Black
332322,133638,LGA1155,ATX,4,32 GB,Black
332323,133639,LGA1155,Micro ATX,4,32 GB,Black / Blue
332324,133640,FM2,ATX,4,32 GB,Black / Blue
332325,133641,LGA1150,ATX,4,32 GB,Black / Blue
332326,133642,AM2+/AM2,ATX,4,16 GB,
332327,133643,LGA1155,ATX,4,32 GB,Black / Blue
332328,133644,FM2+,Micro ATX,2,32 GB,Black / Red
332329,133645,FM1,ATX,4,32 GB,Blue / White
332330,133646,FM1,Micro ATX,4,32 GB,Blue / White
332331,133647,FM2,Micro ATX,2,32 GB,Black
332332,133648,LGA2011-3,ATX,8,128 GB,Black / Yellow
332333,133649,FM1,Micro ATX,2,32 GB,Black / Blue
332334,133650,LGA1150,Thin Mini ITX,2,16 GB,Blue / White
332335,133651,FM2+,Micro ATX,4,64 GB,Brown / Black
332336,133652,FM2,Mini ITX,2,32 GB,Black / Gold
332337,133653,FM1,ATX,4,64 GB,Black / Blue
332338,133654,LGA1155,ATX,4,16 GB,Black / Silver
332339,133655,FM2+,Micro ATX,4,64 GB,Black / Gold
332340,133656,LGA1151,Micro ATX,4,64 GB,Black / Orange
332341,133657,Integrated Pentium N3700,Mini ITX,2,8 GB,Green
332342,133658,AM3,Micro ATX,4,16 GB,Black / Red
332343,133659,LGA1151,Mini ITX,2,32 GB,Black
332344,133660,AM3,ATX,4,16 GB,Multicolor
332345,133661,LGA1151,Micro ATX,4,64 GB,Black / Silver
332346,133662,AM3,Micro ATX,2,8 GB,Blue / White
332347,133663,Integrated Atom D2700,Mini ITX,2,4 GB,Black / Orange
332348,133664,LGA1150,Mini ITX,2,16 GB,Black / Orange
332349,133665,AM3+,ATX,4,32 GB,Black / Blue
332350,133666,LGA1150,EATX,4,32 GB,Black / Gold
332351,133667,FM2+,Micro ATX,2,32 GB,Black / Blue
332352,133668,LGA2011-3,EATX,8,128 GB,Black / Red
332353,133669,LGA1150,ATX,4,32 GB,Black / Gold
332354,133670,LGA1156,ATX,4,16 GB,Brown / Black
332355,133671,AM3,ATX,4,16 GB,Black / White
332356,133672,AM3,Micro ATX,4,16 GB,Blue / White
332357,133673,AM3,ATX,4,16 GB,Blue / White
332358,133674,LGA775,Mini ITX,2,4 GB,Green / Blue
332359,133675,LGA775,Micro ATX,2,8 GB,Multicolor
332360,133676,AM3,Micro ATX,4,16 GB,Black / Blue
332361,133677,LGA775,Micro ATX,4,16 GB,Black / Red
332362,133678,AM3,Micro ATX,4,16 GB,Multicolor
332363,133679,AM2+/AM2,Mini ITX,2,8 GB,Black / Red
332364,133680,LGA1366,ATX,6,24 GB,Black / Blue
332365,133681,LGA2011-3,ATX,8,128 GB,Black / Yellow
332366,133682,LGA1155,Micro ATX,2,16 GB,Blue
332367,133683,AM2+/AM2,Micro ATX,2,8 GB,Black / Red
332368,133684,LGA1156,Micro ATX,4,16 GB,Black / Blue
332369,133685,LGA775,Micro ATX,2,8 GB,Black / Red
332370,133686,LGA1155,Micro ATX,4,32 GB,Black / Red
332371,133687,FM2,Micro ATX,2,32 GB,
332372,133688,LGA775,Micro ATX,4,8 GB,
332373,133689,LGA1150,Mini ITX,2,16 GB,Black / Gray
332374,133690,LGA1155,Micro ATX,4,32 GB,Brown / Black
332375,133691,LGA1151,ATX,4,64 GB,Black / Orange
332376,133692,LGA1150,Micro ATX,4,32 GB,Brown / Black
332377,133693,LGA1150,XL ATX,4,32 GB,Black / Yellow
332378,133694,LGA1155,ATX,4,32 GB,Black / Blue
332379,133695,LGA1155,Micro ATX,2,16 GB,Black / Gray
332380,133696,LGA1150,ATX,4,32 GB,Brown / Black
332381,133697,LGA1150,Micro ATX,4,32 GB,Black / Yellow
332382,133698,LGA1150,Mini ITX,2,16 GB,Black / Green
332383,133699,LGA1155,ATX,4,32 GB,Black / Blue
332384,133700,LGA1155,Micro ATX,4,32 GB,
332385,133701,LGA1155,ATX,4,16 GB,
332386,133702,LGA1156,ATX,4,16 GB,Black / Blue
332387,133703,LGA1155,ATX,4,32 GB,
332388,133704,FM2,Micro ATX,2,32 GB,Black / Blue
332389,133705,LGA1366,ATX,6,24 GB,Black / Blue
332390,133706,LGA2011-3,ATX,8,128 GB,Black
332391,133707,LGA1151,ATX,4,64 GB,Black / Orange
332392,133708,LGA1366,EATX,6,24 GB,
332393,133709,LGA1151,Micro ATX,2,32 GB,Silver / Black
332394,133710,LGA1155,ATX,4,32 GB,
332395,133711,AM1,Micro ATX,2,32 GB,Black / Silver
332396,133712,LGA1151,Micro ATX,2,32 GB,Brown / Black
332397,133713,LGA1155,Mini ITX,2,16 GB,Black / Yellow
332398,133714,FM1,Micro ATX,2,32 GB,
332399,133715,FM1,Micro ATX,2,32 GB,Black / Blue
332400,133716,LGA1155,ATX,4,32 GB,Black
332401,133717,LGA1155,ATX,4,32 GB,Black / Blue
332402,133718,LGA1151,ATX,4,64 GB,Black / Red
332403,133719,LGA2011-3,ATX,8,128 GB,Black / Blue
