keyboard_id,product_id,style,switch_type,backlit,tenkeyless,connection_type,color
311946,121080,Gaming,Kailh Blue,Orange,No,Wired,Black
311947,121081,Gaming,Kailh Brown,Orange,Yes,Wired,Black
311948,121082,Standard,,No,No,Wired,Black
311949,121083,Gaming,Cherry MX Black,Orange,No,Wired,White / Black
311950,121084,Gaming,Cherry MX Brown,Orange,No,Wired,White / Black
311951,121085,Slim,,No,No,Wired,Black
311952,121086,Gaming,Cherry MX Black,Red,No,Wired,Gray / Black
311953,121087,Standard,,No,No,Wired,Black
311954,121088,Standard,,No,No,Wired,Gray
311955,121089,Slim,,No,Yes,Wireless,Black
311956,121090,Standard,,No,No,Wired,Black
311957,121091,Standard,,No,No,Wired,Black
311958,121092,Slim,,No,No,Wired,Silver / White
311959,121093,Standard,,No,No,Wired,Black
311960,121094,Standard,Cherry MX Brown,Red,No,Wired,Black
311961,121095,Standard,Cherry MX Brown,White,No,Wired,Black
311962,121096,Mini,,No,Yes,Wireless,Silver / Black
311963,121097,Ergonomic,,No,Yes,Wireless,Gray / Black
311964,121098,Mini,,No,Yes,Bluetooth Wireless,Black
311965,121099,Slim,,No,No,Wireless,Black
311966,121100,Standard,Cherry MX Brown,Blue,No,Wired,Black
311967,121101,Standard,Cherry MX Brown,White,No,Wired,Black
311968,121102,Standard,Cherry MX Blue,Blue,No,Wired,Black
311969,121103,Standard,Cherry MX Brown,Red,No,Wired,Black
311970,121104,Standard,Cherry MX Red,White,No,Wired,Black
311971,121105,Standard,Cherry MX Blue,Purple,No,Wired,Black
311972,121106,Standard,Cherry MX Blue,Green,No,Wired,Black
311973,121107,Standard,Cherry MX Red,Green,No,Wired,Black
311974,121108,Standard,Cherry MX Red,Red,No,Wired,Black
311975,121109,Standard,Cherry MX Blue,Orange,No,Wired,Black
311976,121110,Standard,Cherry MX Black,Blue,No,Wired,Black
311977,121111,Standard,Cherry MX Red,Purple,No,Wired,Black
311978,121112,Standard,Cherry MX Brown,Orange,No,Wired,Black
311979,121113,Standard,Cherry MX Black,White,No,Wired,Black
311980,121114,Standard,Cherry MX Black,Red,No,Wired,Black
311981,121115,Standard,Cherry MX Black,Purple,No,Wired,Black
311982,121116,Standard,Cherry MX Black,Orange,No,Wired,Black
311983,121117,Standard,Cherry MX Black,Green,No,Wired,Black
311984,121118,Standard,Cherry MX Black,Blue,Yes,Wired,Black
311985,121119,Standard,Cherry MX Brown,Blue,Yes,Wired,Black
311986,121120,Standard,Cherry MX Black,Red,Yes,Wired,Black
311987,121121,Standard,Cherry MX Red,Red,Yes,Wired,Black
311988,121122,Standard,Cherry MX Black,Green,Yes,Wired,Black
311989,121123,Standard,Cherry MX Brown,Green,Yes,Wired,Black
311990,121124,Standard,Cherry MX Red,Green,Yes,Wired,Black
311991,121125,Standard,Cherry MX Black,White,Yes,Wired,Black
311992,121126,Standard,Cherry MX Blue,White,Yes,Wired,Black
311993,121127,Standard,Cherry MX Red,White,Yes,Wired,Black
311994,121128,Standard,Cherry MX Black,Orange,Yes,Wired,Black
311995,121129,Standard,Cherry MX Blue,Orange,Yes,Wired,Black
311996,121130,Standard,Cherry MX Red,Orange,Yes,Wired,Black
311997,121131,Standard,Cherry MX Black,Purple,Yes,Wired,Black
311998,121132,Standard,Cherry MX Brown,Purple,Yes,Wired,Black
311999,121133,Standard,Cherry MX Blue,Purple,Yes,Wired,Black
312000,121134,Standard,Cherry MX Red,Purple,Yes,Wired,Black
312001,121135,Standard,Cherry MX Clear,Blue,No,Wired,Black
312002,121136,Mini,Cherry MX Black,Blue,Yes,Wired,Black
312003,121137,Standard,Cherry MX Black,Green,No,Wired,Black
312004,121138,Standard,Cherry MX Black,Red,No,Wired,Black
312005,121139,Standard,Cherry MX Black,No,No,Wired,Black
312006,121140,Standard,Cherry MX Blue,No,No,Wired,Black
312007,121141,Standard,Cherry MX Brown,No,No,Wireless,Black
312008,121142,Mini,Cherry MX Blue,Blue,Yes,Wired,White
312009,121143,Mini,Cherry MX Black,Blue,Yes,Wired,White
312010,121144,Mini,Cherry MX Brown,Blue,Yes,Wired,White
312011,121145,Mini,Cherry MX Red,Blue,Yes,Wired,White
312012,121146,Mini,Cherry MX Black,Multicolor,Yes,Wired,Black
312013,121147,Mini,Cherry MX Blue,Multicolor,Yes,Wired,Black
312014,121148,Mini,Cherry MX Blue,Multicolor,Yes,Wired,Black
312015,121149,Standard,Cherry MX Blue,Multicolor,No,Wired,Black
312016,121150,Standard,Cherry MX Black,Multicolor,No,Wired,Black
312017,121151,Standard,Cherry MX Brown,Multicolor,No,Wired,Black
312018,121152,Standard,Cherry MX Red,Multicolor,No,Wired,Black
312019,121153,Standard,Cherry MX Blue,Multicolor,No,Wired,White
312020,121154,Standard,Cherry MX Black,Multicolor,No,Wired,White
312021,121155,Standard,Cherry MX Brown,Multicolor,No,Wired,White
312022,121156,Standard,Cherry MX Red,Multicolor,No,Wired,White
312023,121157,Mini,Cherry MX Black,Red,Yes,Wired,Black
312024,121158,Mini,Cherry MX Blue,Multicolor,Yes,Wired,Black
312025,121159,Mini,Cherry MX Brown,Multicolor,Yes,Wired,Black
312026,121160,Mini,Cherry MX Blue,Green,Yes,Wired,Black
312027,121161,Mini,Cherry MX Black,White,Yes,Wired,Black
312028,121162,Mini,Cherry MX Black,Blue,Yes,Wired,Black
312029,121163,Mini,Cherry MX Blue,Green,Yes,Wired,Black
312030,121164,Gaming,Cherry MX Black,No,No,Wired,Green / Black
312031,121165,Gaming,Cherry MX Blue,Multicolor,No,Wired,Black
312032,121166,Gaming,Cherry MX Blue,No,No,Wired,Black
312033,121167,Standard,ALPS Clicky Simplified White,No,No,Wired,White
312034,121168,Standard,Cherry MX Brown,Green,No,Wired,Black
312035,121169,Standard,Cherry MX Red,White,No,Wired,Black
312036,121170,Mini,Cherry MX Black,No,Yes,Wired,Black / White
312037,121171,Gaming,Cherry MX Red,Red,No,Wired,Black
312038,121172,Gaming,Cherry MX Blue,Red,No,Wired,Black
312039,121173,Mini,Cherry MX Blue,No,Yes,Wired,Black / White
312040,121174,Mini,Cherry MX Red,No,Yes,Wired,Black / White
312041,121175,Mini,Cherry MX Brown,No,Yes,Wired,Black / White
312042,121176,Standard,,No,No,Wired,Black
312043,121177,Slim,,No,No,Wired,Blue / White
312044,121178,Gaming,,Multicolor,No,Wired,Black / Red
312045,121179,Slim,,No,No,Wireless,Black
312046,121180,Mini,,No,No,Wired,Black
312047,121181,Mini,,No,Yes,Wireless,Black
312048,121182,Slim,,No,No,Wired,Black
312049,121183,Gaming,,No,No,Wired,Black
312050,121184,Ergonomic,,No,No,Wireless,Black
312051,121185,Standard,Cherry MX Brown,No,No,Wired,Black
312052,121186,Standard,Cherry MX Brown,White,No,Wired,Black
312053,121187,Standard,ALPS Green,No,Yes,Wired,Black
312054,121188,Standard,Cherry MX Red,Blue,Yes,Wired,Black
312055,121189,Standard,Cherry MX Brown,Red,No,Wired,Black
312056,121190,Standard,Cherry MX Blue,White,No,Wired,Black
312057,121191,Standard,Cherry MX Blue,Blue,Yes,Wired,Black
312058,121192,Mini,Cherry MX Blue,White,Yes,Wired,Black
312059,121193,Mini,Cherry MX Blue,Green,Yes,Wired,Black
312060,121194,Mini,Cherry MX Blue,No,Yes,Wired,Black
312061,121195,Standard,Cherry MX Red,White,No,Wired,Black
312062,121196,Mini,Cherry MX Brown,No,Yes,Wired,Black
312063,121197,Standard,Cherry MX Brown,White,No,Wired,Black
312064,121198,Standard,Cherry MX Brown,Blue,Yes,Wired,Black
312065,121199,Standard,Cherry MX Brown,Blue,No,Wired,Black
312066,121200,Mini,Cherry MX Black,No,Yes,Wired,Black
312067,121201,Standard,Cherry MX Brown,Blue,No,Wired,Black
312068,121202,Mini,Cherry MX Brown,Orange,Yes,Wired,Black
312069,121203,Standard,Cherry MX Brown,Yellow,No,Wired,Black
312070,121204,Standard,Cherry MX Black,White,No,Wired,Black
312071,121205,Standard,Cherry MX Red,Red,No,Wired,Black
312072,121206,Slim,Cherry MX Brown,White,Yes,Wired,Black
312073,121207,Gaming,ALPS Green,No,No,Wired,Black
312074,121208,Gaming,Cherry MX Blue,Blue,No,Wired,Black
312075,121209,Gaming,Cherry MX Red,Blue,No,Wired,Black
312076,121210,Mini,Cherry MX Red,Purple,Yes,Wired,Black
312077,121211,Standard,Cherry MX Brown,No,Yes,Wired,Black
312078,121212,Mini,Cherry MX Red,No,Yes,Wired,Black
312079,121213,Mini,Cherry MX Blue,Orange,Yes,Wired,Black
312080,121214,Slim,Cherry MX Black,Green,Yes,Wired,Black
312081,121215,Mini,Cherry MX Red,Green,Yes,Wired,Black
312082,121216,Mini,Cherry MX Red,Orange,Yes,Wired,Black
312083,121217,Mini,Cherry MX Black,White,Yes,Wired,Black
312084,121218,Gaming,Cherry MX Red,Purple,No,Wired,Black
312085,121219,Gaming,Cherry MX Red,Green,No,Wired,Black
312086,121220,Gaming,Cherry MX Brown,Green,No,Wired,Black
312087,121221,Gaming,Cherry MX Black,Red,No,Wired,Black
312088,121222,Gaming,Cherry MX Blue,Red,No,Wired,Black
312089,121223,Gaming,Cherry MX Red,Green,No,Wired,Black
312090,121224,Gaming,Cherry MX Red,No,No,Wired,Black
312091,121225,Mini,Cherry MX Black,No,Yes,Wired,Black
312092,121226,Mini,Cherry MX Red,Orange,Yes,Wired,Black
312093,121227,Gaming,Cherry MX Brown,Purple,No,Wired,Black
312094,121228,Gaming,Cherry MX Red,White,No,Wired,Black
312095,121229,Gaming,Cherry MX Blue,Blue,No,Wired,Black
312096,121230,Gaming,Cherry MX Blue,Green,No,Wired,Black
312097,121231,Mini,Cherry MX Red,White,Yes,Wired,Black
312098,121232,Mini,Cherry MX Brown,Orange,Yes,Wired,Black
312099,121233,Mini,Cherry MX Black,Orange,Yes,Wired,Black
312100,121234,Gaming,Cherry MX Blue,Blue,No,Wired,Black
312101,121235,Gaming,Cherry MX Brown,Green,No,Wired,Black
312102,121236,Slim,Cherry MX Red,White,Yes,Wired,Black
312103,121237,Gaming,ALPS Black,No,No,Wired,Black
312104,121238,Gaming,Cherry MX Brown,Red,No,Wired,Black
312105,121239,Gaming,Cherry MX Blue,Red,No,Wired,Black
312106,121240,Gaming,Cherry MX Blue,No,No,Wired,Black
312107,121241,Gaming,Cherry MX Red,Red,No,Wired,Black
312108,121242,Gaming,Cherry MX Black,Blue,No,Wired,Black
312109,121243,Gaming,Cherry MX Black,Green,No,Wired,Black
312110,121244,Standard,Cherry MX Blue,No,Yes,Wired,Black
