external_hard_drive_id,product_id,type,interface,capacity,price_per_gb,color
285207,112910,Desktop,USB 3.0,5000 GB,0.06,
285208,112911,Portable,USB 3.0,256 GB,0.31,
285209,112912,Portable,USB 3.1,1000 GB,,Black
285210,112913,Portable,USB 3.0,1000 GB,,
285211,112914,Desktop,USB 3.0,5000 GB,,
285212,112915,Desktop,  in USB Type-C,USB 3.0  in,24000 GB,0.04,Black
285213,112916,Desktop,USB 2.0,480 GB,1.02,
285214,112917,Portable,USB 3.0,1000 GB,0.06,White
285215,112918,Desktop,  in eSATA 6Gb/s,IEEE 1394b,USB 3.0  in,4000 GB,,
285216,112919,Desktop,USB 3.0,3000 GB,0.06,
285217,112920,Portable,USB 3.0,128 GB,,
285218,112921,Portable,USB 3.0,2000 GB,0.05,
285219,112922,Desktop,USB 3.0,6000 GB,0.04,
285220,112923,Portable,USB 3.0,128 GB,0.72,
285221,112924,Portable,USB 3.0,1000 GB,0.20,
285222,112925,Desktop,USB 3.0,5000 GB,0.04,
285223,112926,Desktop,USB 3.0,3000 GB,0.05,
285224,112927,Portable,USB 3.0,250 GB,,
285225,112928,Desktop,USB 2.0,1000 GB,,
285226,112929,Desktop,Thunderbolt,10000 GB,,
285227,112930,Desktop,USB 2.0,240 GB,,
285228,112931,Portable,USB 3.0,512 GB,0.21,
285229,112932,Portable,USB 3.0,2000 GB,,
285230,112933,Desktop,Thunderbolt,1000 GB,,
285231,112934,Portable,USB 3.0,2000 GB,0.05,
285232,112935,Portable,USB 3.0,1500 GB,,
285233,112936,Portable,USB 3.0,2000 GB,,
285234,112937,Portable,USB 3.0,1000 GB,0.07,Black
285235,112938,Portable,USB 3.0,1000 GB,,
285236,112939,Portable,  in Thunderbolt,USB 3.0  in,256 GB,,
285237,112940,Portable,USB 3.0,500 GB,,
285238,112941,Desktop,USB 3.0,2000 GB,0.05,
285239,112942,Desktop,USB 3.0,3000 GB,,
285240,112943,Portable,USB 3.0,5000 GB,,Black
285241,112944,Portable,USB 3.0,256 GB,0.44,
285242,112945,Desktop,  in IEEE 1394b,USB 2.0  in,2000 GB,0.21,
285243,112946,Desktop,  in eSATA 3Gb/s,IEEE 1394/b,USB 2.0  in,2000 GB,0.20,
285244,112947,Portable,USB 3.0,2000 GB,,
285245,112948,Portable,USB 3.0,1000 GB,,
285246,112949,Portable,USB 3.0,500 GB,0.17,
285247,112950,Portable,USB 3.0,14000 GB,,Black
285248,112951,Portable,USB 3.0,5000 GB,,Blue
285249,112952,Portable,,1000 GB,0.09,
285250,112953,Portable,USB 3.0,1000 GB,0.06,
285251,112954,Portable,,5000 GB,,
285252,112955,Portable,USB 3.0,128 GB,0.88,
285253,112956,Portable,  in IEEE 1394b,USB 2.0  in,2000 GB,,
285254,112957,Desktop,Thunderbolt,1000 GB,,
285255,112958,Portable,USB 3.0,1000 GB,,
285256,112959,Portable,USB 3.0,120 GB,,
285257,112960,Desktop,USB 3.0,4000 GB,,
285258,112961,Desktop,USB 3.0,6000 GB,,
285259,112962,Portable,USB 3.0,1000 GB,0.23,
285260,112963,Desktop,USB 3.0,2000 GB,0.11,
285261,112964,Portable,USB 3.0,512 GB,0.29,
285262,112965,Portable,USB 3.0,1000 GB,0.13,
285263,112966,Portable,USB 3.0,1000 GB,0.26,
285264,112967,Desktop,USB 3.0,2000 GB,,
285265,112968,Portable,USB 3.0,1000 GB,0.07,
285266,112969,Portable,USB 3.0,128 GB,,
285267,112970,Portable,USB 3.0,750 GB,,
285268,112971,Portable,  in Thunderbolt,USB 3.0  in,1000 GB,,
285269,112972,Portable,USB 3.0,256 GB,0.48,
285270,112973,Portable,USB 3.0,1000 GB,0.21,Black
285271,112974,Desktop,USB 3.0,2000 GB,0.11,
285272,112975,Portable,USB 3.0,2000 GB,0.05,Black
285273,112976,Desktop,USB 3.0,4000 GB,0.05,Black
285274,112977,Portable,USB 3.0,512 GB,0.28,
285275,112978,Portable,USB 3.0,500 GB,0.34,
285276,112979,Desktop,USB 2.0,1000 GB,,
